"rs","region","ps","start_pos","end_pos","af_191","af_89","impact","RefSeq_ID","ncbi_func","protein_ID","gene_ID","gene_interval","gene_ann","no_vars_group","no_effects","ave_effect","lines","assocs","host","cat_rhiz","cat_sym","pleio_type","trait_combs","host_pleio","pleio","sig"
"freebayes-snp-chr-1017467-A","Chromosome","1017467",1016514,1017929,0.089,0.079,"LOW","NP_384682.1","8-amino-7-oxononanoate synthase","ASP57743.1","CDO30_05075","gene-CDO30_RS05085",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1019825-C","Chromosome","1019825",1018854,1020470,0.099,0.079,"LOW","NP_384680.1","capsular polysaccharide biosynthesis protein RkpI","ASP57745.1","CDO30_05085","gene-CDO30_RS05095",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1021113-A","Chromosome","1021113",1020494,1021819,0.283,0.281,"MODERATE","NP_384679.1","capsular biosynthesis protein","ASP57746.1","CDO30_05090","gene-CDO30_RS05100",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1022161-G","Chromosome","1022161",1021789,1022802,0.262,0.247,"LOW","NP_384678.1","KpsF/GutQ family sugar-phosphate isomerase","ASP57747.1","CDO30_05095","gene-CDO30_RS05105",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1026707-C","Chromosome","1026707",1024445,1026979,0.288,0.281,"LOW","NP_384675.1","protein translocase subunit SecDF","ASP57750.1","CDO30_05110","gene-CDO30_RS05120",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1026716-A","Chromosome","1026716",1024445,1026979,0.272,0.27,"LOW","NP_384675.1","protein translocase subunit SecDF","ASP57750.1","CDO30_05110","gene-CDO30_RS05120",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1027044-T","Chromosome","1027044",NA,NA,0.105,0.067,"MODIFIER",NA,"non-coding",NA,NA,"null",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1029334-A","Chromosome","1029334",1029265,1030455,0.241,0.225,"LOW","NP_384672.1","pyridoxal phosphate-dependent aminotransferase","ASP57752.1","CDO30_05125","gene-CDO30_RS05135",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1030129-A","Chromosome","1030129",1029265,1030455,0.11,0.101,"LOW","NP_384672.1","pyridoxal phosphate-dependent aminotransferase","ASP57752.1","CDO30_05125","gene-CDO30_RS05135",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1030237-C","Chromosome","1030237",1029265,1030455,0.346,0.326,"LOW","NP_384672.1","pyridoxal phosphate-dependent aminotransferase","ASP57752.1","CDO30_05125","gene-CDO30_RS05135",NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1038020-C","Chromosome","1038020",1037391,1038395,0.052,0.056,"LOW","NP_384664.1","cytochrome d ubiquinol oxidase subunit II","ASP57758.1","CDO30_05165","gene-CDO30_RS05175","cydB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1042575-C","Chromosome","1042575",1042111,1045617,0.11,0.079,"LOW","NP_384659.1","hybrid sensor histidine kinase/response regulator","ASP57763.1","CDO30_05190","gene-CDO30_RS05200",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1044579-G","Chromosome","1044579",1042111,1045617,0.089,0.079,"LOW","NP_384659.1","hybrid sensor histidine kinase/response regulator","ASP57763.1","CDO30_05190","gene-CDO30_RS05200",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1047018-G","Chromosome","1047018",NA,NA,0.372,0.326,"MODIFIER",NA,"non-coding",NA,NA,"null",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1050061-A","Chromosome","1050061",1049943,1050446,0.335,0.303,"MODERATE","NP_384653.1","secretion protein","ASP57768.1","CDO30_05220","gene-CDO30_RS05230",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1060658-C","Chromosome","1060658",1059732,1063394,0.346,0.326,"MODERATE","YP_001325841.1","peptidoglycan-binding protein","ASP57779.1","CDO30_05280","gene-CDO30_RS05290",NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1060683-G","Chromosome","1060683",1059732,1063394,0.403,0.36,"LOW","YP_001325841.1","peptidoglycan-binding protein","ASP57779.1","CDO30_05280","gene-CDO30_RS05290",NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1061082-G","Chromosome","1061082",1059732,1063394,0.246,0.236,"LOW","YP_001325841.1","peptidoglycan-binding protein","ASP57779.1","CDO30_05280","gene-CDO30_RS05290",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1061169-G","Chromosome","1061169",1059732,1063394,0.11,0.101,"LOW","YP_001325841.1","peptidoglycan-binding protein","ASP57779.1","CDO30_05280","gene-CDO30_RS05290",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1065895-G","Chromosome","1065895",1065746,1066954,0.23,0.213,"LOW","WP_018898354.1","acetyl-CoA acetyltransferase","ASP57781.1","CDO30_05290","gene-CDO30_RS05300",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1069652-G","Chromosome","1069652",1069280,1069753,0.277,0.27,"LOW","NP_384637.1","polyketide cyclase","ASP57783.1","CDO30_05300","gene-CDO30_RS05310",NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1087643-A","Chromosome","1087643",1086446,1087768,0.319,0.292,"LOW","NP_384618.1","phosphate ABC transporter%2C permease protein PstA","ASP57802.1","CDO30_05400","gene-CDO30_RS05410","pstA",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1127545-C","Chromosome","1127545",1127461,1128159,0.309,0.281,"LOW","NP_384587.1","orotate phosphoribosyltransferase","ASP57829.1","CDO30_05565","gene-CDO30_RS05575",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1129932-A","Chromosome","1129932",1129410,1130030,0.089,0.067,"LOW","NP_384585.1","nucleoside triphosphate hydrolase","ASP57831.1","CDO30_05575","gene-CDO30_RS05585",NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1132980-A","Chromosome","1132980",1132173,1133198,0.267,0.27,"LOW","WP_018094081.1","sugar ABC transporter substrate-binding protein","ASP57834.1","CDO30_05590","gene-CDO30_RS05600",NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1136381-T","Chromosome","1136381",1135952,1136656,0.084,0.067,"LOW","NP_384578.1","Crp/Fnr family transcriptional regulator","ASP57838.1","CDO30_05610","gene-CDO30_RS05620",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1143380-T","Chromosome","1143380",1141569,1145270,0.351,0.303,"LOW","NP_384572.1","trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase","ASP57844.1","CDO30_05645","gene-CDO30_RS05655","putA",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-11438-C","Chromosome","11438",11210,12028,0.105,0.101,"LOW","YP_001326847.1","segregation/condensation protein A","ASP59967.1","CDO30_00070","gene-CDO30_RS00070",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1147502-C","Chromosome","1147502",1147202,1147633,0.351,0.326,"LOW","NP_384569.1","DUF1810 domain-containing protein","ASP57847.1","CDO30_05660","gene-CDO30_RS05670",NA,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1182060-G","Chromosome","1182060",1181850,1182962,0.073,0.056,"LOW","NP_384543.1","transcriptional regulator","ASP60032.1","CDO30_05810","gene-CDO30_RS05820",NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1197009-C","Chromosome","1197009",1196174,1197367,0.084,0.09,"MODERATE","NP_384531.1","succinyl-diaminopimelate desuccinylase","ASP57881.1","CDO30_05870","gene-CDO30_RS05880",NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1201700-A","Chromosome","1201700",1201691,1202896,0.33,0.292,"MODERATE","NP_384524.1","DNA recombination protein RmuC","ASP57885.1","CDO30_05900","gene-CDO30_RS05910",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1207960-T","Chromosome","1207960",1207826,1208257,0.152,0.124,"LOW","NP_384520.1","heat-shock protein Hsp20","ASP57889.1","CDO30_05920","gene-CDO30_RS05930",NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1211098-A","Chromosome","1211098",NA,NA,0.089,0.079,"MODIFIER",NA,"non-coding",NA,NA,"null",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1219872-A","Chromosome","1219872",1219326,1219982,0.136,0.112,"LOW","NP_384508.1","tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB","ASP57901.1","CDO30_05980","gene-CDO30_RS05990","tsaB",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1227280-C","Chromosome","1227280",1224634,1227483,0.325,0.303,"LOW","NP_384502.1","bifunctional uridylyltransferase/uridylyl-removing protein","ASP57907.1","CDO30_06010","gene-CDO30_RS06020",NA,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1238090-C","Chromosome","1238090",1237967,1239121,0.162,0.135,"LOW","NP_384495.1","class I SAM-dependent rRNA methyltransferase","ASP57913.1","CDO30_06045","gene-CDO30_RS06055",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1239837-C","Chromosome","1239837",1239780,1240124,0.309,0.292,"LOW","NP_384493.1","DUF1049 domain-containing protein","ASP57915.1","CDO30_06055","gene-CDO30_RS06065",NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1241062-C","Chromosome","1241062",1240720,1241679,0.445,0.404,"LOW","NP_384491.1","signal peptide peptidase SppA","ASP57917.1","CDO30_06065","gene-CDO30_RS06075","sppA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1244644-A","Chromosome","1244644",1244282,1245826,0.131,0.112,"LOW","NP_384487.1","RNA polymerase sigma-54 factor","ASP57921.1","CDO30_06085","gene-CDO30_RS06095","rpoN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1246377-G","Chromosome","1246377",1246105,1246677,0.319,0.292,"LOW","NP_384486.1","ribosomal subunit interface protein","ASP57922.1","CDO30_06090","gene-CDO30_RS06100","raiA",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1249933-A","Chromosome","1249933",1249778,1250497,0.241,0.225,"LOW","NP_384482.1","ribonuclease PH","ASP57926.1","CDO30_06115","gene-CDO30_RS06125","rph",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1255617-C","Chromosome","1255617",1254471,1255742,0.136,0.112,"LOW","NP_384476.1","hypothetical protein","ASP57931.1","CDO30_06145","gene-CDO30_RS06155",NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1261628-T","Chromosome","1261628",1261062,1261838,0.099,0.079,"LOW","YP_001329222.1","ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE","ASP60037.1","CDO30_06180","gene-CDO30_RS06190",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-126424-T","Chromosome","126424",126408,126845,0.084,0.079,"MODERATE","NP_385529.1","DUF2267 domain-containing protein","ASP56938.1","CDO30_00595","gene-CDO30_RS00605",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1264430-G","Chromosome","1264430",1264389,1264994,0.141,0.101,"MODERATE","NP_384467.1","hypothetical protein","ASP57940.1","CDO30_06195","gene-CDO30_RS06205",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1276451-A","Chromosome","1276451",1276370,1277170,0.084,0.067,"MODERATE","NP_384457.1","5-deoxy-glucuronate isomerase","ASP57951.1","CDO30_06255","gene-CDO30_RS06265","iolB",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1279650-A","Chromosome","1279650",NA,NA,0.372,0.337,"MODIFIER",NA,"non-coding",NA,NA,"null",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1280524-T","Chromosome","1280524",1279651,1280547,0.325,0.303,"MODERATE","NP_384453.1","EamA/RhaT family transporter","ASP57955.1","CDO30_06275","gene-CDO30_RS06285",NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1282952-A","Chromosome","1282952",1282721,1283158,0.089,0.079,"LOW","NP_384450.1","Lrp/AsnC family transcriptional regulator","ASP57957.1","CDO30_06290","gene-CDO30_RS06300",NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1284154-C","Chromosome","1284154",1283293,1284207,0.073,0.067,"MODERATE","NP_384449.1","EamA/RhaT family transporter","ASP60039.1","CDO30_06295","gene-CDO30_RS06305",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1312435-T","Chromosome","1312435",1311569,1313131,0.241,0.236,"LOW","WP_020052549.1","GMP synthase (glutamine-hydrolyzing)","ASP57981.1","CDO30_06440","gene-CDO30_RS06450",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1329248-A","Chromosome","1329248",1329026,1329700,0.361,0.326,"LOW","NP_384399.1","hypothetical protein","ASP58000.1","CDO30_06545","gene-CDO30_RS06555",NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-133377-T","Chromosome","133377",132799,133461,0.084,0.079,"LOW","NP_385521.1","PAS domain-containing protein","ASP56946.1","CDO30_00645","gene-CDO30_RS00655",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1333995-T","Chromosome","1333995",NA,NA,0.089,0.079,"MODIFIER",NA,"non-coding",NA,NA,"null",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1334277-C","Chromosome","1334277",1334254,1336680,0.136,0.112,"MODERATE","NP_384392.1","phenylalanine--tRNA ligase subunit beta","ASP58004.1","CDO30_06575","gene-CDO30_RS06590",NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1335100-G","Chromosome","1335100",1334254,1336680,0.152,0.124,"LOW","NP_384392.1","phenylalanine--tRNA ligase subunit beta","ASP58004.1","CDO30_06575","gene-CDO30_RS06590",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1356090-C","Chromosome","1356090",NA,NA,0.23,0.225,"MODIFIER",NA,"non-coding",NA,NA,"null",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1365758-A","Chromosome","1365758",1364242,1365822,0.351,0.315,"MODERATE","NP_384362.1","hypothetical protein","ASP58028.1","CDO30_06735","gene-CDO30_RS06750",NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1389726-T","Chromosome","1389726",1389330,1389947,0.084,0.067,"LOW","NP_384342.1","ribosome maturation factor","ASP58048.1","CDO30_06845","gene-CDO30_RS06860",NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1421443-C","Chromosome","1421443",1420818,1421555,0.11,0.09,"MODERATE","NP_384310.1","copper homeostasis protein CutC","ASP58079.1","CDO30_07020","gene-CDO30_RS07035",NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1425665-C","Chromosome","1425665",1424873,1425757,0.346,0.315,"LOW","NP_384306.1","N-acetylglucosamine kinase","ASP60056.1","CDO30_07045","gene-CDO30_RS07060",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1437293-T","Chromosome","1437293",1437243,1437893,0.33,0.303,"LOW","NP_384297.1","TetR family transcriptional regulator","ASP58091.1","CDO30_07090","gene-CDO30_RS07105",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1447133-A","Chromosome","1447133",1445399,1447324,0.11,0.09,"LOW","NP_384288.1","molecular chaperone DnaK","ASP58099.1","CDO30_07135","gene-CDO30_RS07150",NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1451903-C","Chromosome","1451903",1451885,1452832,0.157,0.124,"LOW","NP_384284.1","lysylphosphatidylglycerol synthetase family protein","ASP58103.1","CDO30_07155","gene-CDO30_RS07170",NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1471171-T","Chromosome","1471171",1470235,1472040,0.126,0.101,"LOW","NP_384266.1","ABC transporter ATP-binding protein","ASP58119.1","CDO30_07250","gene-CDO30_RS07265",NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1471552-T","Chromosome","1471552",1470235,1472040,0.23,0.225,"LOW","NP_384266.1","ABC transporter ATP-binding protein","ASP58119.1","CDO30_07250","gene-CDO30_RS07265",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1491085-G","Chromosome","1491085",1491055,1492341,0.225,0.18,"LOW","NP_384249.1","CtpF protein","ASP58134.1","CDO30_07335","gene-CDO30_RS07350",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1505895-A","Chromosome","1505895",1505637,1506608,0.079,0.067,"LOW","NP_384233.1","ABC transporter permease","ASP58149.1","CDO30_07415","gene-CDO30_RS07430",NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1506886-A","Chromosome","1506886",1506613,1507746,0.298,0.281,"LOW","NP_384232.1","ABC transporter permease","ASP58150.1","CDO30_07420","gene-CDO30_RS07435",NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1508133-A","Chromosome","1508133",1507743,1509278,0.126,0.157,"LOW","NP_384231.1","ABC transporter ATP-binding protein","ASP58151.1","CDO30_07425","gene-CDO30_RS07440",NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1512604-C","Chromosome","1512604",1512326,1513627,0.204,0.18,"MODERATE","NP_384229.1","gfo/Idh/MocA family oxidoreductase","ASP58153.1","CDO30_07440","gene-CDO30_RS07455",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1514141-C","Chromosome","1514141",1513682,1514506,0.346,0.315,"LOW","NP_384228.1","sugar phosphate isomerase/epimerase","ASP58154.1","CDO30_07445","gene-CDO30_RS07460",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1533454-C","Chromosome","1533454",NA,NA,0.094,0.079,"MODIFIER",NA,"non-coding",NA,NA,"null",NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1537772-A","Chromosome","1537772",1535528,1537897,0.141,0.112,"MODERATE","NP_384210.1","aminomethyltransferase","ASP58172.1","CDO30_07535","gene-CDO30_RS07550",NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-155413-T","Chromosome","155413",155297,156424,0.168,0.169,"LOW","NP_385500.1","S-(hydroxymethyl)glutathione dehydrogenase","ASP56967.1","CDO30_00760","gene-CDO30_RS00770",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-155443-G","Chromosome","155443",155297,156424,0.419,0.416,"LOW","NP_385500.1","S-(hydroxymethyl)glutathione dehydrogenase","ASP56967.1","CDO30_00760","gene-CDO30_RS00770",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1559514-C","Chromosome","1559514",1559170,1559703,0.105,0.079,"LOW","NP_384188.1","sarcosine oxidase subunit gamma","ASP58192.1","CDO30_07645","gene-CDO30_RS07660",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-156007-C","Chromosome","156007",155297,156424,0.209,0.213,"LOW","NP_385500.1","S-(hydroxymethyl)glutathione dehydrogenase","ASP56967.1","CDO30_00760","gene-CDO30_RS00770",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-156280-T","Chromosome","156280",155297,156424,0.466,0.404,"LOW","NP_385500.1","S-(hydroxymethyl)glutathione dehydrogenase","ASP56967.1","CDO30_00760","gene-CDO30_RS00770",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1579620-C","Chromosome","1579620",1578953,1579636,0.141,0.112,"MODERATE","NP_384174.1","ABC transporter ATP-binding protein","ASP58203.1","CDO30_07750","gene-CDO30_RS07765",NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-chr-1580346-C","Chromosome","1580346",1579636,1582098,0.335,0.292,"LOW","NP_384173.1","ATP-dependent helicase HrpB","ASP58204.1","CDO30_07755","gene-CDO30_RS07770","hrpB",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
