"region","RefSeq_ID","protein_ID","ncbi_func","gene_interval","start_pos","end_pos","no_vars","min_ps","max_ps","no_effects","ave_score","assocs","lines","exps","host"
"Chromosome","NP_386408.1","ASP59240.1","MBOAT family protein","gene-CDO30_RS13695",2839618,2841186,1,2840404,2840404,1,0.3760386,"chloro1-A17","A17","4","A17 only"
"Chromosome","NP_386410.1","ASP59239.1","acyl carrier protein","gene-CDO30_RS13685",2838075,2838323,1,2838141,2838141,1,0.2617372,"shoot-DZA","DZA","3","DZA only"
"Chromosome","NP_386492.1","ASP60139.1","cation transporter","gene-CDO30_RS13260",2758785,2759705,2,2759480,2759486,4,-0.2036863,"nod.weight-DZA, chloro1-A17","DZA, A17","3, 4","Both"
"Chromosome","NP_386507.1","ASP59154.1","choline ABC transporter ATP-binding protein","gene-CDO30_RS13185",2738066,2739115,1,2738897,2738897,1,0.494347,"fit-DZA","DZA","5O","DZA only"
"Chromosome","NP_386868.1","ASP58817.1","transketolase","gene-CDO30_RS11290",2356823,2358805,1,2357675,2357675,1,0.2926473,"chloro1-DZA","DZA","3","DZA only"
"Chromosome","NP_387199.1","ASP58511.1","amidase","gene-CDO30_RS09560",1976940,1978247,1,1977722,1977722,1,0.2395351,"nod.weight-DZA","DZA","3","DZA only"
"Chromosome","NP_387430.2","ASP58286.1","MFS transporter","gene-CDO30_RS08200",1678055,1679467,1,1678204,1678204,1,0.2355733,"nod.weight-A17","A17","4","A17 only"
"Chromosome","WP_003519986.1","ASP57801.1","phosphate ABC transporter ATP-binding protein","gene-CDO30_RS05405",1085617,1086432,1,1086154,1086154,1,0.2994197,"nod.weight-A17","A17","4","A17 only"
"Chromosome","WP_003525183.1","ASP57021.1","elongation factor Tu","gene-CDO30_RS01055",202278,203453,1,203274,203274,1,0.3253832,"nod.weight-A17","A17","4","A17 only"
"Chromosome","WP_003534680.1",NA,"hypothetical protein","null",134320,134594,1,134524,134524,2,0.301673,"chloro1-DZA, nod.weight-A17","DZA, A17","3, 4","Both"
"Chromosome","YP_001326136.1","ASP57502.1","potassium transporter Kup","gene-CDO30_RS03770",745630,747531,1,745893,745893,1,0.290718,"fit-A17","A17","6O","A17 only"
"Chromosome","YP_001326328.1","ASP57323.1","serine peptidase","gene-CDO30_RS02755",546634,548187,1,547462,547462,1,0.2415325,"nod.weight-A17","A17","4","A17 only"
"Chromosome","YP_001326777.1","ASP59969.1","two-component sensor histidine kinase","gene-CDO30_RS00420",87090,89363,1,88674,88674,1,0.2774745,"nod.weight-A17","A17","4","A17 only"
"Chromosome","YP_001328930.1","ASP58208.1","L%2CD-transpeptidase","gene-CDO30_RS07790",1585116,1585790,1,1585187,1585187,1,0.3120017,"chloro1-DZA","DZA","3","DZA only"
"Chromosome","YP_002828138.1","ASP60042.1","tRNA epoxyqueuosine(34) reductase QueG","gene-CDO30_RS06390",1298701,1299864,1,1299605,1299605,1,0.2179778,"nod.weight-A17","A17","4","A17 only"
"pSymA","NP_435247.1","ASP60899.1","formate dehydrogenase-N subunit alpha","gene-CDO30_RS21915",721465,724569,5,721472,722739,6,0.185553216666667,"shoot-A17, nod-A17, fit-A17","A17","4, 6O","A17 only"
"pSymA","NP_435249.1","ASP60897.1","formate dehydrogenase subunit gamma","gene-CDO30_RS21905",719812,720498,1,720034,720034,1,0.3571424,"fit-A17","A17","6O","A17 only"
"pSymA","NP_435250.1","ASP60896.1","formate dehydrogenase accessory protein FdhE","gene-CDO30_RS21900",718853,719773,5,719005,719758,9,0.204163655555556,"shoot-DZA, shoot-A17, fit-A17","DZA, A17","3, 4, 6O","Both"
"pSymA","NP_435251.1","ASP60895.1","L-selenocysteinyl-tRNA(Sec) synthase","gene-CDO30_RS21895",717448,718848,7,718078,718807,10,0.17451432,"shoot-A17, fit-A17","A17","4, 6O","A17 only"
"pSymA","NP_435253.1","ASP60893.1","selenocysteine-specific translation elongation factor","gene-CDO30_RS21885",714670,716670,5,714728,716611,7,0.1605765,"chloro1-DZA, shoot-DZA, chloro1-A17, shoot-A17, nod-A17, fit-A17","DZA, A17","3, 4, 6O","Both"
"pSymA","NP_435254.1","ASP60892.1","hypothetical protein","gene-CDO30_RS21880",713859,714416,1,714012,714012,1,-0.1889238,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435258.2","ASP60884.1","transglutaminase family protein","gene-CDO30_RS21825",706720,707787,2,707152,707268,2,-0.024601,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435259.1","ASP60883.1","hypothetical protein","gene-CDO30_RS21820",706186,706614,3,706383,706499,4,-0.21190485,"shoot-DZA, nod-A17, fit-DZA","DZA, A17","3, 4, 5O","Both"
"pSymA","NP_435262.1","ASP60880.1","protease","gene-CDO30_RS21805",702930,704585,1,703334,703334,1,-0.2485902,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435264.2","ASP60878.1","LysR family transcriptional regulator","gene-CDO30_RS21795",699741,700640,2,700097,700331,2,-0.01023015,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435265.2","ASP60877.1","NADPH:quinone reductase","gene-CDO30_RS21790",698650,699639,3,699064,699394,3,0.0471751666666667,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435272.1","ASP60870.1","AGE family epimerase/isomerase","gene-CDO30_RS21750",693348,694544,1,693530,693530,3,0.0993115,"shoot-DZA, nod-A17, fit-A17","DZA, A17","3, 4, 6O","Both"
"pSymA","NP_435273.1","ASP60869.1","short-chain dehydrogenase","gene-CDO30_RS21745",692548,693333,1,693039,693039,1,0.2916403,"fit-DZA","DZA","5O","DZA only"
"pSymA","NP_435274.1","ASP60868.1","gluconolactonase","gene-CDO30_RS21740",691613,692548,3,691769,692380,3,-0.0056673,"shoot-DZA, nod.weight-DZA","DZA","3","DZA only"
"pSymA","NP_435275.1","ASP60867.1","GntR family transcriptional regulator","gene-CDO30_RS21735",690713,691402,2,691271,691312,2,0.28672045,"shoot-A17, fit-DZA","A17, DZA","4, 5O","Both"
"pSymA","NP_435276.2","ASP60866.1","FadR family transcriptional regulator","gene-CDO30_RS21730",689849,690583,4,690317,690521,4,0.023346775,"shoot-DZA, shoot-A17","DZA, A17","3, 4","Both"
"pSymA","NP_435277.2","ASP60865.1","dehydratase","gene-CDO30_RS21725",688644,689846,2,689535,689754,2,-0.24227435,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435278.1","ASP60864.1","GntR family transcriptional regulator","gene-CDO30_RS21720",687889,688581,2,687895,688134,2,0.15947725,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435280.1","ASP60862.1","ABC transporter permease","gene-CDO30_RS21710",685700,686683,4,686018,686603,4,0.1152238,"chloro1-DZA, shoot-DZA, nod-A17, fit-A17","DZA, A17","3, 4, 6O","Both"
"pSymA","NP_435281.1","ASP60861.1","sugar ABC transporter ATP-binding protein","gene-CDO30_RS21705",684972,685703,1,685330,685330,1,-0.2592989,"fit-DZA","DZA","5O","DZA only"
"pSymA","NP_435282.1","ASP60860.1","NAD(P)-dependent oxidoreductase","gene-CDO30_RS21700",684206,684964,2,684879,684883,2,0.3601366,"chloro1-DZA, nod.weight-DZA","DZA","3","DZA only"
"pSymA","NP_435283.1","ASP60859.1","aldose 1-epimerase","gene-CDO30_RS21695",683319,684206,2,683563,683673,2,-0.2038526,"shoot-DZA, nod-A17","DZA, A17","3, 4","Both"
"pSymA","NP_435284.1","ASP60858.1","LacI family transcriptional regulator","gene-CDO30_RS21690",682055,683077,4,682090,682697,5,0.0559239,"shoot-DZA, nod.weight-DZA, nod-A17, fit-A17","DZA, A17","3, 4, 6O","Both"
"pSymA","NP_435285.1","ASP60857.1","amino acid ABC transporter permease","gene-CDO30_RS21685",681262,681930,1,681265,681265,1,-0.2018364,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435286.1","ASP60856.1","amino acid ABC transporter permease","gene-CDO30_RS21680",680595,681251,1,681138,681138,1,0.324519,"fit-DZA","DZA","5O","DZA only"
"pSymA","NP_435290.1","ASP60852.1","hypothetical protein","gene-CDO30_RS21660",677635,677967,1,677698,677698,1,0.2434131,"nod.weight-DZA","DZA","3","DZA only"
"pSymA","NP_435292.1","ASP60850.1","BA14K family protein","gene-CDO30_RS21650",676116,676811,1,676369,676369,2,-0.02610475,"nod-A17, fit-A17","A17","4, 6O","A17 only"
"pSymA","NP_435293.1","ASP60849.1","D-amino acid aminotransferase","gene-CDO30_RS21645",675003,675854,3,675003,675659,3,-0.0117713333333333,"shoot-DZA, shoot-A17, fit-A17","DZA, A17","3, 4, 6O","Both"
"pSymA","NP_435294.1","ASP60848.1","D-aminopeptidase","gene-CDO30_RS21640",673915,674952,2,674598,674940,3,-0.0787796,"shoot-DZA, fit-DZA","DZA","3, 5O","DZA only"
"pSymA","NP_435295.1","ASP60847.1","LysR family transcriptional regulator","gene-CDO30_RS21635",672957,673898,1,673185,673185,1,-0.3597105,"fit-A17","A17","6O","A17 only"
"pSymA","NP_435297.1","ASP60845.1","ABC transporter substrate-binding protein","gene-CDO30_RS21625",669500,671092,1,670602,670602,1,-0.2313502,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435299.1","ASP60843.1","ABC transporter permease","gene-CDO30_RS21615",667650,668471,2,668337,668468,2,-0.24753885,"shoot-DZA, nod-A17","DZA, A17","3, 4","Both"
"pSymA","NP_435301.1","ASP60841.1","ABC transporter ATP-binding protein","gene-CDO30_RS21605",665780,666742,2,666350,666633,2,0.34774365,"chloro1-DZA, nod-A17","DZA, A17","3, 4","Both"
"pSymA","NP_435303.1","ASP60838.1","histidine kinase","gene-CDO30_RS21590",661772,664333,4,662171,663782,5,-0.03203494,"chloro1-DZA, shoot-DZA, nod-A17, fit-A17","DZA, A17","3, 4, 6O","Both"
"pSymA","NP_435306.1","ASP60835.1","hypothetical protein","gene-CDO30_RS21570",659584,659922,1,659880,659880,2,-0.3282695,"shoot-DZA, fit-DZA","DZA","3, 5O","DZA only"
"pSymA","NP_435307.1","ASP60834.1","cytochrome C","gene-CDO30_RS21565",658830,659357,1,659049,659049,2,0.2144268,"shoot-A17, nod.weight-A17","A17","4","A17 only"
"pSymA","NP_435309.1","ASP60832.1","hypothetical protein","gene-CDO30_RS21555",657924,658307,1,658160,658160,1,-0.2861276,"shoot-A17","A17","4","A17 only"
"pSymA","NP_435310.1","ASP60831.1","molecular chaperone GroEL","gene-CDO30_RS21550",656210,657844,3,656779,657834,3,-0.0899769666666667,"shoot-DZA, nod.weight-DZA","DZA","3","DZA only"
"pSymA","NP_435311.1","ASP60830.1","co-chaperone GroES","gene-CDO30_RS21545",655845,656162,1,655931,655931,2,0.20597135,"chloro1-A17, shoot-A17","A17","4","A17 only"
"pSymA","NP_435314.1","ASP60827.1","fatty acid desaturase","gene-CDO30_RS21530",653368,654435,2,653674,654076,3,-0.0558619666666667,"shoot-DZA, shoot-A17, nod-A17","DZA, A17","3, 4","Both"
"pSymA","NP_435316.1","ASP60825.1","hypothetical protein","gene-CDO30_RS21520",652365,652970,3,652431,652928,3,0.0329204666666667,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435317.2","ASP60823.1","AI-2E family transporter","gene-CDO30_RS21510",649750,651762,5,650179,651505,6,-0.21822105,"shoot-DZA, nod.weight-DZA, shoot-A17","DZA, A17","3, 4","Both"
"pSymA","NP_435318.2","ASP60822.1","bifunctional diguanylate cyclase/phosphodiesterase","gene-CDO30_RS21505",647457,649658,5,647508,649408,6,-0.155400316666667,"chloro1-DZA, shoot-DZA, fit-DZA","DZA","3, 5O","DZA only"
"pSymA","NP_435320.1","ASP60821.1","protease","gene-CDO30_RS21490",645214,646614,2,645254,645594,2,0.00482280000000002,"fit-DZA","DZA","5O","DZA only"
"pSymA","NP_435321.2","ASP60820.1","RNA polymerase sigma factor","gene-CDO30_RS21485",644529,645071,1,644831,644831,1,-0.2039275,"chloro1-DZA","DZA","3","DZA only"
"pSymA","NP_435322.1","ASP60819.1","anti-sigma factor","gene-CDO30_RS21480",643747,644532,2,643814,644167,3,-0.0626613333333333,"shoot-DZA, nod-A17, fit-DZA","DZA, A17","3, 4, 5O","Both"
"pSymA","NP_435324.1","ASP60817.1","hypothetical protein","gene-CDO30_RS21470",642363,643076,1,642519,642519,2,-0.2758734,"shoot-DZA, fit-DZA","DZA","3, 5O","DZA only"
"pSymA","NP_435326.1","ASP60815.1","malonyl-CoA synthase","gene-CDO30_RS21460",640137,641663,2,640242,640487,4,0.0873017,"chloro1-DZA, shoot-DZA, nod.weight-DZA, fit-DZA","DZA","3, 5O","DZA only"
"pSymA","NP_435328.1","ASP60812.1","TRAP transporter small permease","gene-CDO30_RS21445",636822,637391,1,637229,637229,1,-0.2042336,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435329.1","ASP60811.1","ABC transporter substrate-binding protein","gene-CDO30_RS21440",635751,636755,1,635843,635843,1,0.1941551,"nod-A17","A17","4","A17 only"
"pSymA","NP_435330.1","ASP60810.1","GntR family transcriptional regulator","gene-CDO30_RS21435",634948,635622,1,635161,635161,1,-0.206341,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435332.2","ASP60809.1","secretin","gene-CDO30_RS21430",633314,634714,1,633896,633896,1,-0.1878766,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435334.1","ASP60807.1","hypothetical protein","gene-CDO30_RS21420",632469,632999,2,632483,632574,3,-0.161913233333333,"shoot-DZA, nod-DZA","DZA","3","DZA only"
"pSymA","NP_435335.1","ASP60806.1","class I SAM-dependent methyltransferase","gene-CDO30_RS21415",631573,632385,1,631879,631879,1,-0.1749578,"nod-A17","A17","4","A17 only"
"pSymA","NP_435337.1",NA,"alpha/beta hydrolase","gene-CDO30_RS21400-gene-CDO30_RS21405",629783,630546,1,629800,629800,1,-0.183921,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435338.1","ASP60804.1","polyphosphate kinase 2","gene-CDO30_RS21400",628646,629566,2,629102,629351,2,-0.1778217,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435339.1","ASP60803.1","mechanosensitive ion channel family protein","gene-CDO30_RS21395",627168,628250,1,628193,628193,1,0.234171,"fit-A17","A17","6O","A17 only"
"pSymA","NP_435341.1","ASP60800.1","PhzF family phenazine biosynthesis protein","gene-CDO30_RS21375",623732,624604,3,623771,624561,4,-0.277366475,"shoot-DZA, nod-A17, fit-DZA, fit-A17","DZA, A17","3, 4, 5O, 6O","Both"
"pSymA","NP_435343.1","ASP60798.1","MFS transporter","gene-CDO30_RS21365",621531,623075,3,621605,622491,4,0.134239325,"chloro1-DZA, shoot-DZA, nod.weight-DZA","DZA","3","DZA only"
"pSymA","NP_435345.1","ASP60796.1","hypothetical protein","gene-CDO30_RS21355",619568,620011,1,619727,619727,1,-0.1821605,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435346.1","ASP60795.1","TetR/AcrR family transcriptional regulator","gene-CDO30_RS21350",618851,619480,1,619322,619322,1,-0.300457,"nod.weight-A17","A17","4","A17 only"
"pSymA","NP_435352.1","ASP60788.1","sugar ABC transporter ATP-binding protein","gene-CDO30_RS21310",612811,614274,1,613447,613447,1,0.332104,"nod.weight-DZA","DZA","3","DZA only"
"pSymA","NP_435357.2","ASP60783.1","hypothetical protein","gene-CDO30_RS21285",607922,608188,1,608174,608174,1,0.3046273,"shoot-DZA","DZA","3","DZA only"
"pSymA","NP_435358.1","ASP60782.1","hypothetical protein","gene-CDO30_RS21280",607585,607779,2,607650,607774,2,-0.02825405,"shoot-A17, fit-DZA","A17, DZA","4, 5O","Both"
"pSymA","NP_435359.2","ASP60781.1","5-keto-4-deoxyuronate isomerase","gene-CDO30_RS21275",606525,607367,1,606537,606537,1,-0.2853222,"shoot-DZA","DZA","3","DZA only"
