"region","start_pos","end_pos","RefSeq_ID","protein_ID","gene_ID","gene_name","ncbi_func"
"CP021797.1",49238,49798,"WP_018239620.1","ASP56867.1","CDO30_00215",NA,"ribosome-recycling factor"
"CP021797.1",49850,50572,"NP_385603.1","ASP56868.1","CDO30_00220",NA,"UMP kinase"
"CP021797.1",50756,51679,"NP_385602.1","ASP56869.1","CDO30_00225",NA,"elongation factor Ts"
"CP021797.1",51932,52699,"NP_385601.1","ASP56870.1","CDO30_00230","rpsB","30S ribosomal protein S2"
"CP021797.1",52698,52907,"WP_018011154.1",NA,"CDO30_00235",NA,"hypothetical protein"
"CP021797.1",52885,53703,"NP_385600.1","ASP56871.1","CDO30_00240",NA,"DUF1849 domain-containing protein"
"CP021797.1",53845,54309,"NP_385599.1","ASP56872.1","CDO30_00245",NA,"RidA family protein"
"CP021797.1",54323,55048,"NP_385598.1","ASP56873.1","CDO30_00250",NA,"glycerophosphodiester phosphodiesterase"
"CP021797.1",55053,56240,"NP_385597.1","ASP56874.1","CDO30_00255",NA,"GNAT family N-acetyltransferase"
"CP021797.1",56276,56695,"NP_385596.1","ASP56875.1","CDO30_00260",NA,"HIT family protein"
"CP021797.1",56949,57284,"NP_385595.2","ASP59968.1","CDO30_00265",NA,"branched-chain amino acid transport"
"CP021797.1",57290,58036,"NP_385594.1","ASP56876.1","CDO30_00270",NA,"AzlC family protein"
"CP021797.1",58109,60625,"NP_385593.1","ASP56877.1","CDO30_00275","clpA","ATP-dependent Clp protease ATP-binding subunit ClpA"
"CP021797.1",60635,60988,"NP_385592.1","ASP56878.1","CDO30_00280",NA,"ATP-dependent Clp protease adaptor ClpS"
"CP021797.1",61260,61613,"NP_385591.1","ASP56879.1","CDO30_00285",NA,"phasin family protein"
"CP021797.1",61855,62058,"YP_001326800.1","ASP56880.1","CDO30_00290",NA,"DUF3126 domain-containing protein"
"CP021797.1",62238,63065,"NP_385589.1","ASP56881.1","CDO30_00295","cysE","serine O-acetyltransferase"
"CP021797.1",63363,64142,"NP_385588.1","ASP56882.1","CDO30_00300",NA,"alpha/beta hydrolase"
"CP021797.1",64332,64577,"NP_385587.1","ASP56883.1","CDO30_00305",NA,"zinc-finger domain-containing protein"
"CP021797.1",64605,65768,"NP_385586.1","ASP56884.1","CDO30_00310",NA,"salicylate hydroxylase"
"CP021797.1",65823,67010,"NP_385585.1","ASP56885.1","CDO30_00315",NA,"cystathionine beta-lyase"
"CP021797.1",67348,68373,"NP_385584.1","ASP56886.1","CDO30_00320",NA,"amino acid ABC transporter substrate-bindnig protein"
"CP021797.1",68478,69671,"NP_385583.1","ASP56887.1","CDO30_00325",NA,"amino acid ABC transporter permease"
"CP021797.1",69676,70830,"NP_385582.1","ASP56888.1","CDO30_00330",NA,"amino acid ABC transporter permease"
"CP021797.1",70849,71625,"WP_017964122.1","ASP56889.1","CDO30_00335",NA,"amino acid ABC transporter ATP-binding protein"
"CP021797.1",71727,72005,"NP_385580.1","ASP56890.1","CDO30_00340",NA,"type II toxin-antitoxin system mRNA interferase toxin%2C RelE/StbE family"
"CP021797.1",72246,73058,"NP_385579.1","ASP56891.1","CDO30_00345",NA,"ferredoxin--NADP reductase"
"CP021797.1",73204,73704,"NP_385578.1","ASP56892.1","CDO30_00350",NA,"DUF934 domain-containing protein"
"CP021797.1",73722,75395,"NP_385577.1","ASP56893.1","CDO30_00355",NA,"sulfite reductase"
"CP021797.1",75411,75728,"NP_385576.1","ASP56894.1","CDO30_00360",NA,"DUF2849 domain-containing protein"
"CP021797.1",75739,77196,"NP_385575.1","ASP56895.1","CDO30_00365","cobA","uroporphyrinogen-III C-methyltransferase"
"CP021797.1",77420,78007,"NP_385574.1","ASP56896.1","CDO30_00370",NA,"tRNA-specific adenosine deaminase"
"CP021797.1",78011,78844,"NP_385573.1","ASP56897.1","CDO30_00375",NA,"nucleoside triphosphate pyrophosphohydrolase"
"CP021797.1",80197,81369,"WP_010968459.1","ASP56898.1","CDO30_00380",NA,"IS481 family transposase ISRm20"
"CP021797.1",81683,83080,"NP_385571.1","ASP56899.1","CDO30_00385","hflX","GTPase HflX"
"CP021797.1",83087,83329,"WP_003535434.1","ASP56900.1","CDO30_00390",NA,"RNA-binding protein Hfq"
"CP021797.1",83430,84293,"NP_385569.1","ASP56901.1","CDO30_00395",NA,"D-amino-acid transaminase"
"CP021797.1",84305,85681,"NP_385568.1","ASP56902.1","CDO30_00400",NA,"Trk system potassium transport protein TrkA"
"CP021797.1",85736,87100,"WP_017964179.1","ASP56903.1","CDO30_00405",NA,"sigma-54-dependent Fis family transcriptional regulator"
"CP021797.1",87090,89363,"YP_001326777.1","ASP59969.1","CDO30_00410",NA,"two-component sensor histidine kinase"
"CP021797.1",89585,91039,"WP_007628712.1","ASP56904.1","CDO30_00415","ntrC","nitrogen regulation protein NR(I)"
"CP021797.1",91036,92184,"NP_385564.1","ASP56905.1","CDO30_00420",NA,"two-component sensor histidine kinase"
"CP021797.1",92181,93209,"NP_385563.1","ASP56906.1","CDO30_00425",NA,"tRNA dihydrouridine synthase DusB"
"CP021797.1",93286,94590,"NP_385562.3","ASP59970.1","CDO30_00430","ispDF","bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase"
"CP021797.1",94571,95068,"NP_385561.1","ASP56907.1","CDO30_00435",NA,"CinA family protein"
"CP021797.1",95056,95505,"NP_385560.1","ASP56908.1","CDO30_00440",NA,"ubiquinone-binding protein"
"CP021797.1",95583,96287,"NP_385559.1","ASP56909.1","CDO30_00445",NA,"hypothetical protein"
"CP021797.1",96532,97500,"NP_385558.1","ASP56910.1","CDO30_00450","lipA","lipoyl synthase"
"CP021797.1",97635,97886,"NP_385557.1","ASP56911.1","CDO30_00455",NA,"GlsB/YeaQ/YmgE family stress response membrane protein"
"CP021797.1",97962,99407,"NP_385556.1","ASP56912.1","CDO30_00460","lpdA","dihydrolipoyl dehydrogenase"
"CP021797.1",99425,100006,"YP_001326767.1","ASP56913.1","CDO30_00465",NA,"GNAT family N-acetyltransferase"
"CP021797.1",100009,100650,"NP_385554.1","ASP56914.1","CDO30_00470",NA,"arylesterase"
"CP021797.1",100707,102050,"NP_385553.1","ASP56915.1","CDO30_00475",NA,"dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex"
"CP021797.1",102063,103445,"NP_385552.1","ASP56916.1","CDO30_00480",NA,"pyruvate dehydrogenase E1 component subunit beta"
"CP021797.1",103463,104509,"NP_385551.1","ASP56917.1","CDO30_00485","pdhA","pyruvate dehydrogenase E1 component subunit alpha"
"CP021797.1",104646,104966,"YP_001326762.1","ASP56918.1","CDO30_00490",NA,"cell division protein"
"CP021797.1",105735,107009,"NP_385549.1","ASP56919.1","CDO30_00495",NA,"enolase"
"CP021797.1",107144,107983,"YP_002825813.1","ASP56920.1","CDO30_00500",NA,"3-deoxy-8-phosphooctulonate synthase"
"CP021797.1",107986,108876,"NP_385547.1","ASP56921.1","CDO30_00505",NA,"VOC family protein"
"CP021797.1",109029,110657,"NP_385546.1","ASP56922.1","CDO30_00510",NA,"CTP synthetase"
"CP021797.1",110801,111286,"NP_385545.1","ASP56923.1","CDO30_00515",NA,"preprotein translocase subunit SecG"
"CP021797.1",111409,112179,"NP_385544.1","ASP56924.1","CDO30_00520",NA,"triose-phosphate isomerase"
"CP021797.1",112438,113064,"NP_385543.1","ASP56925.1","CDO30_00525",NA,"cytochrome b"
"CP021797.1",113061,113666,"NP_385542.1","ASP56926.1","CDO30_00530",NA,"polyisoprenoid-binding protein"
"CP021797.1",113663,114988,"NP_385541.1","ASP56927.1","CDO30_00535",NA,"FAD-binding oxidoreductase"
"CP021797.1",115017,115901,"NP_385540.1","ASP59971.1","CDO30_00540",NA,"phospholipase"
"CP021797.1",116145,118205,"NP_385539.1","ASP56928.1","CDO30_00545","parE","DNA topoisomerase IV subunit B"
"CP021797.1",118222,118692,"NP_385538.1","ASP56929.1","CDO30_00550",NA,"N-acetyltransferase"
"CP021797.1",118919,119350,"NP_385537.1","ASP56930.1","CDO30_00555",NA,"hypothetical protein"
"CP021797.1",119366,120499,"NP_385536.1","ASP56931.1","CDO30_00560",NA,"DUF2336 domain-containing protein"
"CP021797.1",120572,121282,"NP_385535.1","ASP56932.1","CDO30_00565",NA,"aldolase"
"CP021797.1",121291,121893,"NP_385534.1","ASP56933.1","CDO30_00570",NA,"flavin reductase family protein"
"CP021797.1",121893,122477,"NP_385533.1","ASP56934.1","CDO30_00575",NA,"nitroreductase"
"CP021797.1",122578,123573,"NP_385532.1","ASP56935.1","CDO30_00580",NA,"hypothetical protein"
"CP021797.1",123778,125760,"WP_015007480.1","ASP56936.1","CDO30_00585",NA,"threonine--tRNA ligase"
"CP021797.1",125872,126411,"NP_385530.1","ASP56937.1","CDO30_00590",NA,"DUF1697 domain-containing protein"
"CP021797.1",126408,126845,"NP_385529.1","ASP56938.1","CDO30_00595",NA,"DUF2267 domain-containing protein"
"CP021797.1",126842,127216,"NP_385528.1","ASP56939.1","CDO30_00600",NA,"membrane protein insertion efficiency factor YidD"
"CP021797.1",127220,127666,"NP_385527.1","ASP56940.1","CDO30_00605",NA,"iron-sulfur cluster assembly scaffold protein"
"CP021797.1",128005,128619,"NP_385526.1","ASP56941.1","CDO30_00610","folE","GTP cyclohydrolase I FolE"
"CP021797.1",128721,129173,"NP_385525.1","ASP56942.1","CDO30_00615",NA,"phosphoribosyl-AMP cyclohydrolase"
"CP021797.1",129307,129526,"WP_018011112.1",NA,"CDO30_00620",NA,"hypothetical protein"
"CP021797.1",129520,130485,"NP_385524.1","ASP56943.1","CDO30_00625",NA,"Patatin"
"CP021797.1",130555,130674,"NP_437618.1",NA,"CDO30_00630",NA,"cytochrome c-type biogenesis protein CcmH"
"CP021797.1",130962,131390,"NP_385523.1","ASP56944.1","CDO30_00635",NA,"inosine-5-monophosphate dehydrogenase"
"CP021797.1",131786,132517,"NP_385522.1","ASP56945.1","CDO30_00640",NA,"rhomboid family intramembrane serine protease"
"CP021797.1",132799,133461,"NP_385521.1","ASP56946.1","CDO30_00645",NA,"PAS domain-containing protein"
"CP021797.1",133529,134137,"NP_385520.1","ASP56947.1","CDO30_00650",NA,"PilZ domain-containing protein"
"CP021797.1",134320,134594,"WP_003534680.1",NA,"CDO30_00655",NA,"hypothetical protein"
"CP021797.1",134994,135602,"NP_385519.1","ASP56948.1","CDO30_00660",NA,"transglutaminase"
"CP021797.1",135832,136560,"NP_385518.1","ASP56949.1","CDO30_00665",NA,"hypothetical protein"
"CP021797.1",136804,138306,"NP_385517.2","ASP56950.1","CDO30_00670",NA,"D-alanyl-D-alanine carboxypeptidase"
"CP021797.1",138382,138651,"NP_385516.1","ASP56951.1","CDO30_00675",NA,"hypothetical protein"
"CP021797.1",139323,139757,"NP_385515.1","ASP56952.1","CDO30_00680",NA,"DUF1489 domain-containing protein"
"CP021797.1",139844,141244,"NP_385514.1","ASP56953.1","CDO30_00685",NA,"L-serine ammonia-lyase"
"CP021797.1",141889,142578,"NP_385513.1","ASP56954.1","CDO30_00690",NA,"DUF599 domain-containing protein"
"CP021797.1",142718,143740,"NP_385512.1","ASP56955.1","CDO30_00695",NA,"DUF1624 domain-containing protein"
"CP021797.1",143744,144217,"NP_385511.1","ASP56956.1","CDO30_00700",NA,"isoprenylcysteine carboxylmethyltransferase family protein"
"CP021797.1",144443,144829,"NP_385510.1","ASP56957.1","CDO30_00705",NA,"transcriptional regulator"
"CP021797.1",144914,146335,"NP_385509.1","ASP56958.1","CDO30_00710","mgtE","magnesium transporter"
"CP021797.1",146559,147077,"NP_385508.1","ASP56959.1","CDO30_00715",NA,"peptide deformylase"
"CP021797.1",147157,147423,"NP_385507.1","ASP56960.1","CDO30_00720",NA,"hypothetical protein"
"CP021797.1",147579,147932,"NP_385506.1","ASP56961.1","CDO30_00725",NA,"hypothetical protein"
"CP021797.1",148191,149738,"NP_385505.1","ASP56962.1","CDO30_00730",NA,"SpoVR family protein"
"CP021797.1",149751,151067,"NP_385504.1","ASP56963.1","CDO30_00735",NA,"hypothetical protein"
"CP021797.1",151092,153041,"NP_385503.1","ASP56964.1","CDO30_00740",NA,"PrkA family serine protein kinase"
"CP021797.1",153869,154627,"NP_385502.1","ASP56965.1","CDO30_00750",NA,"lipoate-protein ligase B"
"CP021797.1",154810,155208,"NP_385501.1","ASP56966.1","CDO30_00755",NA,"transcriptional regulator"
"CP021797.1",155297,156424,"NP_385500.1","ASP56967.1","CDO30_00760",NA,"S-(hydroxymethyl)glutathione dehydrogenase"
"CP021797.1",156498,156938,"NP_385499.1","ASP56968.1","CDO30_00765",NA,"DUF188 domain-containing protein"
"CP021797.1",156961,157620,"NP_385498.1","ASP56969.1","CDO30_00770",NA,"DUF1345 domain-containing protein"
"CP021797.1",157637,158470,"NP_385497.1","ASP56970.1","CDO30_00775","fghA","S-formylglutathione hydrolase"
"CP021797.1",158504,158881,"NP_385496.1","ASP56971.1","CDO30_00780",NA,"camphor resistance protein CrcB"
"CP021797.1",158920,159912,"NP_385495.1","ASP56972.1","CDO30_00785",NA,"pseudouridine synthase"
"CP021797.1",159912,160577,"NP_385494.1","ASP56973.1","CDO30_00790",NA,"phosphoglycolate phosphatase"
"CP021797.1",160570,161355,"NP_385493.1","ASP56974.1","CDO30_00795",NA,"ATPase"
"CP021797.1",161466,161780,"NP_385492.1","ASP59972.1","CDO30_00800",NA,"QacE family quaternary ammonium compound efflux SMR transporter"
"CP021797.1",161946,163256,"NP_385491.1","ASP56975.1","CDO30_00805",NA,"replication-associated recombination protein A"
"CP021797.1",163253,164650,"NP_385490.1","ASP56976.1","CDO30_00810",NA,"protease"
"CP021797.1",165040,165981,"NP_385489.1","ASP56977.1","CDO30_00815",NA,"mononuclear molybdenum enzyme YedY"
"CP021797.1",165984,166634,"NP_385488.1","ASP56978.1","CDO30_00820",NA,"sulfoxide reductase heme-binding subunit YedZ"
"CP021797.1",166564,166794,"WP_017264270.1","ASP56979.1","CDO30_00825",NA,"hypothetical protein"
"CP021797.1",167101,167526,"WP_003495230.1","ASP56980.1","CDO30_00830",NA,"50S ribosomal protein L17"
"CP021797.1",167572,168582,"WP_019171203.1","ASP56981.1","CDO30_00835",NA,"DNA-directed RNA polymerase subunit alpha"
"CP021797.1",168686,169075,"WP_018065590.1","ASP56982.1","CDO30_00840",NA,"30S ribosomal protein S11"
"CP021797.1",169302,169670,"WP_011651425.1","ASP56983.1","CDO30_00845",NA,"30S ribosomal protein S13"
"CP021797.1",169901,170479,"NP_385483.2","ASP56984.1","CDO30_00850",NA,"adenylate kinase"
"CP021797.1",170476,171816,"WP_014328074.1","ASP56985.1","CDO30_00855",NA,"preprotein translocase subunit SecY"
"CP021797.1",172052,172522,"NP_385481.1","ASP56986.1","CDO30_00860",NA,"50S ribosomal protein L15"
"CP021797.1",172536,172739,"WP_007598359.1","ASP56987.1","CDO30_00865",NA,"50S ribosomal protein L30"
"CP021797.1",172752,173321,"WP_007690783.1","ASP56988.1","CDO30_00870",NA,"30S ribosomal protein S5"
"CP021797.1",173455,173817,"NP_385478.1","ASP56989.1","CDO30_00875",NA,"50S ribosomal protein L18"
"CP021797.1",173830,174363,"WP_004118410.1","ASP56990.1","CDO30_00880",NA,"50S ribosomal protein L6"
"CP021797.1",174404,174802,"WP_015915752.1","ASP56991.1","CDO30_00885","rpsH","30S ribosomal protein S8"
"CP021797.1",174815,175120,"WP_014328070.1","ASP56992.1","CDO30_00890",NA,"30S ribosomal protein S14"
"CP021797.1",175155,175712,"WP_012557364.1","ASP56993.1","CDO30_00895",NA,"50S ribosomal protein L5"
"CP021797.1",175705,176016,"WP_008521328.1","ASP56994.1","CDO30_00900",NA,"50S ribosomal protein L24"
"CP021797.1",176031,176399,"WP_020185782.1","ASP56995.1","CDO30_00905",NA,"50S ribosomal protein L14"
"CP021797.1",176578,176814,"NP_385471.1","ASP56996.1","CDO30_00910",NA,"30S ribosomal protein S17"
"CP021797.1",176828,177028,"WP_009109531.1","ASP59973.1","CDO30_00915",NA,"50S ribosomal protein L29"
"CP021797.1",177041,177454,"WP_003516136.1","ASP56997.1","CDO30_00920",NA,"50S ribosomal protein L16"
"CP021797.1",177493,178206,"NP_385468.1","ASP56998.1","CDO30_00925",NA,"30S ribosomal protein S3"
"CP021797.1",178206,178595,"WP_007531667.1","ASP56999.1","CDO30_00930",NA,"50S ribosomal protein L22"
"CP021797.1",178598,178876,"WP_003547552.1","ASP57000.1","CDO30_00935",NA,"30S ribosomal protein S19"
"CP021797.1",178892,179728,"WP_003547551.1","ASP57001.1","CDO30_00940",NA,"50S ribosomal protein L2"
"CP021797.1",179772,180065,"WP_003536621.1","ASP57002.1","CDO30_00945",NA,"50S ribosomal protein L23"
"CP021797.1",180062,180682,"NP_385463.1","ASP57003.1","CDO30_00950",NA,"50S ribosomal protein L4"
"CP021797.1",180695,181381,"NP_385462.1","ASP57004.1","CDO30_00955",NA,"50S ribosomal protein L3"
"CP021797.1",181504,181812,"WP_020185793.1","ASP57005.1","CDO30_00960",NA,"30S ribosomal protein S10"
"CP021797.1",181955,183130,"WP_003525183.1","ASP57006.1","CDO30_00965","tuf","elongation factor Tu"
"CP021797.1",183202,185301,"WP_006728777.1","ASP57007.1","CDO30_00970","fusA","elongation factor G"
"CP021797.1",185331,185801,"WP_007066360.1","ASP57008.1","CDO30_00975",NA,"30S ribosomal protein S7"
"CP021797.1",185859,186230,"WP_020185797.1","ASP57009.1","CDO30_00980",NA,"30S ribosomal protein S12"
"CP021797.1",186916,187212,"NP_385456.1","ASP57010.1","CDO30_00985",NA,"transcriptional regulator"
"CP021797.1",187560,191765,"WP_007817121.1","ASP57011.1","CDO30_00990","rpoC","DNA-directed RNA polymerase subunit beta'"
"CP021797.1",191951,196093,"NP_385454.1","ASP57012.1","CDO30_00995","rpoB","DNA-directed RNA polymerase subunit beta"
"CP021797.1",196359,196739,"NP_385453.1","ASP57013.1","CDO30_01000",NA,"50S ribosomal protein L7/L12"
"CP021797.1",196798,197316,"WP_018325889.1","ASP57014.1","CDO30_01005",NA,"50S ribosomal protein L10"
"CP021797.1",197649,198347,"NP_385451.1","ASP57015.1","CDO30_01010",NA,"50S ribosomal protein L1"
"CP021797.1",198352,198780,"WP_007791992.1","ASP57016.1","CDO30_01015","rplK","50S ribosomal protein L11"
"CP021797.1",198997,199527,"WP_012707742.1","ASP57017.1","CDO30_01020",NA,"transcription termination/antitermination protein NusG"
"CP021797.1",199544,199744,"NP_385448.1","ASP57018.1","CDO30_01025",NA,"preprotein translocase subunit SecE"
"CP021797.1",200249,201142,"YP_001326659.1","ASP57019.1","CDO30_01035",NA,"NAD(P)-dependent oxidoreductase"
"CP021797.1",201265,201930,"NP_385446.1","ASP57020.1","CDO30_01040",NA,"hypothetical protein"
"CP021797.1",202278,203453,"WP_003525183.1","ASP57021.1","CDO30_01045","tuf","elongation factor Tu"
"CP021797.1",204114,204989,"NP_385444.1","ASP57022.1","CDO30_01060",NA,"RNA methyltransferase"
"CP021797.1",204979,205263,"NP_385443.1","ASP57023.1","CDO30_01065",NA,"hypothetical protein"
"CP021797.1",205372,205992,"NP_385442.1","ASP57024.1","CDO30_01070",NA,"FMN-dependent NADH-azoreductase"
"CP021797.1",206200,207141,"NP_385441.1","ASP57025.1","CDO30_01075",NA,"transcriptional regulator"
"CP021797.1",207257,207682,"NP_385440.1","ASP57026.1","CDO30_01080",NA,"VOC family protein"
"CP021797.1",208098,208871,"NP_385439.1","ASP57027.1","CDO30_01090",NA,"NAD(+) kinase"
"CP021797.1",208958,209458,"NP_385438.1","ASP57028.1","CDO30_01095",NA,"hypothetical protein"
"CP021797.1",209637,209930,"WP_013844894.1","ASP57029.1","CDO30_01100",NA,"hypothetical protein"
"CP021797.1",209958,210986,"NP_385437.1","ASP57030.1","CDO30_01105",NA,"peptide chain release factor 2"
"CP021797.1",210925,211134,"WP_020185220.1","ASP59974.1","CDO30_01110",NA,"hypothetical protein"
"CP021797.1",211188,213641,"NP_385436.1","ASP57031.1","CDO30_01115",NA,"penicillin-binding protein 1A"
"CP021797.1",214006,215286,"NP_385435.2","ASP57032.1","CDO30_01120",NA,"N-acetylmuramoyl-L-alanine amidase"
"CP021797.1",215426,215740,"YP_001326646.1","ASP57033.1","CDO30_01125",NA,"hypothetical protein"
"CP021797.1",215997,218771,"NP_385434.1","ASP57034.1","CDO30_01130",NA,"ribonuclease E/G"
"CP021797.1",218937,219152,"NP_385433.1","ASP57035.1","CDO30_01135",NA,"hypothetical protein"
"CP021797.1",219297,219439,"NP_437618.1",NA,"CDO30_01140",NA,"hypothetical protein"
"CP021797.1",219598,219672,"NP_437802.1",NA,"CDO30_01145",NA,"hypothetical protein"
"CP021797.1",220331,220670,"WP_011970797.1","ASP57036.1","CDO30_01150",NA,"IS630 family transposase ISRm2011-2"
"CP021797.1",219724,220331,"WP_011970797.1","ASP57036.1","CDO30_01150",NA,"IS630 family transposase ISRm2011-2"
"CP021797.1",220763,221920,"NP_385430.1","ASP57037.1","CDO30_01155",NA,"aminotransferase"
"CP021797.1",221946,222095,"NP_385429.1","ASP57038.1","CDO30_01160",NA,"hypothetical protein"
"CP021797.1",222149,222916,"NP_385428.1","ASP57039.1","CDO30_01165",NA,"disulfide bond formation protein DsbA"
"CP021797.1",223056,223502,"NP_385427.1","ASP57040.1","CDO30_01170","aroQ","type II 3-dehydroquinate dehydratase"
"CP021797.1",223526,224002,"NP_385426.1","ASP57041.1","CDO30_01175","accB","acetyl-CoA carboxylase biotin carboxyl carrier protein subunit"
"CP021797.1",224015,225358,"YP_001326641.1","ASP57042.1","CDO30_01180","accC","acetyl-CoA carboxylase biotin carboxylase subunit"
"CP021797.1",225368,225982,"NP_385424.1","ASP57043.1","CDO30_01185",NA,"leucyl/phenylalanyl-tRNA--protein transferase"
"CP021797.1",226077,226529,"NP_385423.1","ASP57044.1","CDO30_01190",NA,"DUF2155 domain-containing protein"
"CP021797.1",226648,227043,"YP_001326638.1","ASP57045.1","CDO30_01195",NA,"NADH:ubiquinone oxidoreductase subunit NDUFA12"
"CP021797.1",227211,227708,"NP_385421.1","ASP57046.1","CDO30_01200",NA,"N-acetyltransferase"
"CP021797.1",227711,229213,"YP_001326636.1","ASP59975.1","CDO30_01205",NA,"Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit B"
"CP021797.1",229548,229802,"NP_385419.1","ASP57047.1","CDO30_01210",NA,"hypothetical protein"
"CP021797.1",229906,231387,"NP_385418.1","ASP57048.1","CDO30_01215",NA,"Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit A"
"CP021797.1",231436,231723,"NP_385417.1","ASP57049.1","CDO30_01220",NA,"Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit C"
