"region","gene_ID","RefSeq_ID","ncbi_func","no_vars","no_traits","no_effects","min_ps","max_ps","min_score","max_score","ave_abs_score","ave_af","assocs","exps","host","cat","Entry","Entry name","Status","Protein names","Gene names","Organism","Length","Gene ontology (biological process)","Gene ontology (cellular component)","Gene ontology (GO)","Gene ontology (molecular function)","Gene ontology IDs"
"pSymA","gene-CDO30_18995","NP_435745.1","hypothetical protein",2,1,3,207082,207257,0.1342609,0.1776632,0.153966466666667,0.467333333333333,"shoot+(A17-2)[1], shoot+(DZA-3)[2]","2, 3","Both","other","Q92ZI6","Q92ZI6_RHIME","unreviewed","Uncharacterized protein","SMa0917","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",108,NA,NA,NA,NA,NA
"pSymA","gene-CDO30_19005","NP_435743.2","DNA primase",1,1,1,209536,209536,0.3745501,0.3745501,0.3745501,0.071,"shoot+(DZA-1)[1]","1","DZA only","GxE","Q92ZI8","Q92ZI8_RHIME","unreviewed","Toprim domain-containing protein","SMa0911","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",343,NA,NA,NA,NA,NA
"pSymA","gene-CDO30_19020","NP_435741.1","DUF1173 domain-containing protein",3,1,3,211399,212278,-0.1979445,0.2458394,0.2084162,0.256333333333333,"shoot-(A17-2)[2], shoot+(DZA-3)[1]","2, 3","Both","other","Q92ZJ0","Q92ZJ0_RHIME","unreviewed","Uncharacterized protein","SMa0907","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",412,NA,NA,NA,NA,NA
"pSymA","gene-CDO30_19025","NP_435740.1","hypothetical protein",1,1,1,212481,212481,0.3638638,0.3638638,0.3638638,0.063,"shoot+(DZA-1)[1]","1","DZA only","GxE","Q92ZJ1","Q92ZJ1_RHIME","unreviewed","Uncharacterized protein","SMa0905","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",133,NA,NA,NA,NA,NA
"pSymA","gene-CDO30_19030","NP_435739.2","DUF932 domain-containing protein",3,1,4,213728,214079,-0.2381582,0.1864543,0.2093014,0.24625,"shoot+(DZA-1)[1], shoot-(DZA-1)[1], shoot-(DZA-3)[2]","1, 3","DZA only","GxG","Q92ZJ2","Q92ZJ2_RHIME","unreviewed","Uncharacterized protein","SMa0903","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",396,NA,NA,NA,NA,NA
"pSymA","gene-CDO30_19035","NP_435738.1","antirestriction protein",1,1,1,214329,214329,-0.2460994,-0.2460994,0.2460994,0.279,"shoot-(DZA-3)[1]","3","DZA only","GxE","Q92ZJ3","Q92ZJ3_RHIME","unreviewed","Uncharacterized protein","SMa0900","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",158,NA,NA,NA,NA,NA
"pSymA","gene-CDO30_19040","NP_435737.1","plasmid pRiA4b ORF-3 family protein",2,1,2,215519,215773,-0.207997,-0.1590637,0.18353035,0.2435,"shoot-(DZA-3)[2]","3","DZA only","GxE","Q92ZJ4","Q92ZJ4_RHIME","unreviewed","Uncharacterized protein","SMa0896","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",239,NA,NA,NA,NA,NA
"pSymA","gene-CDO30_19045","NP_435736.1","hypothetical protein",1,1,1,216496,216496,-0.2025242,-0.2025242,0.2025242,0.251,"shoot-(DZA-3)[1]","3","DZA only","GxE","Q92ZJ5","Q92ZJ5_RHIME","unreviewed","Uncharacterized protein","SMa0894","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",98,NA,NA,NA,NA,NA
"pSymA","gene-CDO30_19050","NP_435735.1","error-prone DNA polymerase",3,1,3,216821,219637,-0.2642737,0.3469741,0.290993766666667,0.115333333333333,"shoot+(DZA-1)[1], shoot-(A17-2)[1], shoot+(DZA-3)[1]","1, 2, 3","Both","Partially Universal","Q92ZJ6","DNE22_RHIME","reviewed","Error-prone DNA polymerase 2 (EC 2.7.7.7)","dnaE2-2 RA0489 SMa0892","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",1087,"DNA repair [GO:0006281]; DNA replication [GO:0006260]; SOS response [GO:0009432]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; 3'-5' exonuclease activity [GO:0008408]; DNA-directed DNA polymerase activity [GO:0003887]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; SOS response [GO:0009432]","3'-5' exonuclease activity [GO:0008408]; DNA-directed DNA polymerase activity [GO:0003887]","GO:0003887; GO:0005737; GO:0006260; GO:0006281; GO:0008408; GO:0009432"
"pSymA","gene-CDO30_19055","NP_435734.1","nucleotidyltransferase",1,1,1,220075,220075,0.3219332,0.3219332,0.3219332,0.073,"shoot+(A17-4)[1]","4","A17 only","GxE","Q92ZJ7","Q92ZJ7_RHIME","unreviewed","Uncharacterized protein","SMa0890","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",474,"SOS response [GO:0009432]",NA,"SOS response [GO:0009432]",NA,"GO:0009432"
"pSymA","gene-CDO30_19100","NP_435728.1","glutamine--fructose-6-phosphate aminotransferase",5,1,6,225515,226358,-0.2106858,0.3448549,0.2389766,0.183666666666667,"shoot+(DZA-1)[1], shoot-(DZA-1)[1], shoot+(A17-2)[3], shoot-(DZA-3)[1]","1, 2, 3","Both","Partially Universal","Q92ZK3","NODM_RHIME","reviewed","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (GFAT) (EC 2.6.1.16) (Nodulation protein M)","nodM RA0482 SMa0878","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",608,"carbohydrate derivative biosynthetic process [GO:1901137]; carbohydrate metabolic process [GO:0005975]; glutamine metabolic process [GO:0006541]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]; carbohydrate derivative biosynthetic process [GO:1901137]; carbohydrate metabolic process [GO:0005975]; glutamine metabolic process [GO:0006541]","carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]","GO:0004360; GO:0005737; GO:0005975; GO:0006541; GO:0097367; GO:1901137"
"pSymA","gene-CDO30_19105","NP_435727.1","nodulation protein NolF",1,1,1,228138,228138,-0.2535729,-0.2535729,0.2535729,0.267,"shoot-(DZA-3)[1]","3","DZA only","GxE","P25196","NOLF_RHIME","reviewed","Nodulation protein NolF","nolF RA0481 SMa0876","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",367,NA,"membrane [GO:0016020]","membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]","transmembrane transporter activity [GO:0022857]","GO:0016020; GO:0022857"
"pSymA","gene-CDO30_19115","NP_435725.1","nodulation protein N",1,1,1,231727,231727,0.3027072,0.3027072,0.3027072,0.099,"shoot+(DZA-1)[1]","1","DZA only","GxE","P25200","NODN_RHIME","reviewed","Nodulation protein N","nodN RA0479 SMa0874","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",161,NA,NA,NA,NA,NA
"pSymA","gene-CDO30_19135","NP_435721.1","nodulation protein A",1,1,1,235887,235887,0.1905398,0.1905398,0.1905398,0.188,"shoot+(DZA-3)[1]","3","DZA only","GxE","P02962","NODA_RHIME","reviewed","Nodulation protein A (EC 2.3.1.-)","nodA RA0475 SMa0869","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",196,NA,"cytosol [GO:0005829]","cytosol [GO:0005829]; transferase activity, transferring acyl groups [GO:0016746]","transferase activity, transferring acyl groups [GO:0016746]","GO:0005829; GO:0016746"
"pSymA","gene-CDO30_19175","NP_435714.1","sulfate adenylyltransferase subunit 2",3,1,3,244065,244410,0.1755468,0.2781459,0.2136964,0.202666666666667,"shoot+(DZA-1)[2], shoot+(A17-4)[1]","1, 4","Both","other","P13441","NODP_RHIME","reviewed","Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Nodulation protein P) (Sulfate adenylate transferase) (SAT)","nodP RA0468 SMa0855","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",299,"sulfate assimilation [GO:0000103]; sulfate reduction [GO:0019419]",NA,"ATP binding [GO:0005524]; sulfate adenylyltransferase (ATP) activity [GO:0004781]; sulfate assimilation [GO:0000103]; sulfate reduction [GO:0019419]","ATP binding [GO:0005524]; sulfate adenylyltransferase (ATP) activity [GO:0004781]","GO:0000103; GO:0004781; GO:0005524; GO:0019419"
"pSymA","gene-CDO30_19190","NP_435712.1","nodulation protein E",1,1,1,247085,247085,0.2169257,0.2169257,0.2169257,0.204,"shoot+(DZA-1)[1]","1","DZA only","GxE","P06230","NODE_RHIME","reviewed","Nodulation protein E (Host-specificity of nodulation protein B) (EC 2.3.1.-)","nodE hsnB RA0466 SMa0853","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",402,"fatty acid biosynthetic process [GO:0006633]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid biosynthetic process [GO:0006633]","3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]","GO:0004315; GO:0005886; GO:0006633; GO:0016021"
"pSymA","gene-CDO30_19200","NP_435710.1","nodulation protein H",1,1,1,248488,248488,0.1861038,0.1861038,0.1861038,0.204,"shoot+(A17-4)[1]","4","A17 only","GxE","P06236","NODH_RHIME","reviewed","Nodulation protein H (EC 2.8.2.-) (Host-specificity of nodulation protein D)","nodH hsnD RA0464 SMa0851","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",247,NA,NA,"sulfotransferase activity [GO:0008146]","sulfotransferase activity [GO:0008146]","GO:0008146"
"pSymA","gene-CDO30_19280","NP_435697.1","nitrogenase molybdenum-iron protein subunit beta",1,1,1,259775,259775,0.2887735,0.2887735,0.2887735,0.079,"shoot+(A17-4)[1]","4","A17 only","GxE","Q92ZL3","Q92ZL3_RHIME","unreviewed","Nitrogenase molybdenum-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase)","nifK SMa0829","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",513,"nitrogen fixation [GO:0009399]","molybdenum-iron nitrogenase complex [GO:0016612]","molybdenum-iron nitrogenase complex [GO:0016612]; ATP binding [GO:0005524]; carbonyl sulfide nitrogenase activity [GO:0018697]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; nitrogenase activity [GO:0016163]; nitrogen fixation [GO:0009399]","ATP binding [GO:0005524]; carbonyl sulfide nitrogenase activity [GO:0018697]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; nitrogenase activity [GO:0016163]","GO:0005524; GO:0009399; GO:0016163; GO:0016612; GO:0018697; GO:0046872; GO:0051536"
"pSymA","gene-CDO30_19285","NP_435696.1","nitrogenase molybdenum-iron protein alpha chain",1,1,1,261560,261560,0.2285842,0.2285842,0.2285842,0.183,"shoot+(DZA-1)[1]","1","DZA only","GxE","Q92ZL4","Q92ZL4_RHIME","unreviewed","Nitrogenase protein alpha chain (EC 1.18.6.1)","nifD SMa0827","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",500,"nitrogen fixation [GO:0009399]","molybdenum-iron nitrogenase complex [GO:0016612]","molybdenum-iron nitrogenase complex [GO:0016612]; carbonyl sulfide nitrogenase activity [GO:0018697]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; nitrogenase activity [GO:0016163]; nitrogen fixation [GO:0009399]","carbonyl sulfide nitrogenase activity [GO:0018697]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; nitrogenase activity [GO:0016163]","GO:0009399; GO:0016163; GO:0016612; GO:0018697; GO:0046872; GO:0051536"
"pSymA","gene-CDO30_19315","WP_015242440.1","hypothetical protein",1,1,1,264945,264945,0.2450802,0.2450802,0.2450802,0.147,"shoot+(A17-4)[1]","4","A17 only","GxE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pSymA","gene-CDO30_19320","NP_435693.1","protein FixA",1,1,1,266404,266404,0.2244066,0.2244066,0.2244066,0.209,"shoot+(DZA-1)[1]","1","DZA only","GxE","P09818","FIXA_RHIME","reviewed","Protein FixA","fixA RA0447 SMa0822","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",292,"nitrogen fixation [GO:0009399]",NA,"electron transfer activity [GO:0009055]; nitrogen fixation [GO:0009399]","electron transfer activity [GO:0009055]","GO:0009055; GO:0009399"
"pSymA","gene-CDO30_19360","NP_435685.2","hypothetical protein",1,1,1,274765,274765,0.1858103,0.1858103,0.1858103,0.303,"shoot+(DZA-1)[1]","1","DZA only","GxE","Q92ZL7","Q92ZL7_RHIME","unreviewed","Uncharacterized protein","SMa0809","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",212,NA,NA,NA,NA,NA
"pSymA","gene-CDO30_19385","NP_435680.1","ABC transporter permease",1,1,1,280001,280001,0.252921,0.252921,0.252921,0.204,"shoot+(DZA-1)[1]","1","DZA only","GxE","Q92ZM1","Q92ZM1_RHIME","unreviewed","ABC transporter, permease","SMa0800","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",291,"transmembrane transport [GO:0055085]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]",NA,"GO:0005886; GO:0016021; GO:0055085"
"pSymA","gene-CDO30_19390","NP_435679.2","ABC transporter substrate-binding protein",1,1,2,280991,280991,-0.2576325,0.2203874,0.23900995,0.147,"shoot+(DZA-1)[1], shoot-(DZA-3)[1]","1, 3","DZA only","GxG","Q92ZM2","Q92ZM2_RHIME","unreviewed","ABC transporter, periplasmic solute-binding protein","SMa0799","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",336,NA,"periplasmic space [GO:0042597]","periplasmic space [GO:0042597]",NA,"GO:0042597"
"pSymA","gene-CDO30_19410","NP_435675.2","flavin reductase",1,1,1,284447,284447,-0.3065175,-0.3065175,0.3065175,0.11,"shoot-(DZA-1)[1]","1","DZA only","GxE","Q92ZM6","Y0793_RHIME","reviewed","Probable flavin reductase (EC 1.5.1.-)","SMa0793","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",311,NA,NA,"FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]","FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]","GO:0010181; GO:0016491"
"pSymA","gene-CDO30_19510","NP_435662.1","nodulation protein NoeA",1,1,1,299918,299918,0.2000975,0.2000975,0.2000975,0.23,"shoot+(DZA-1)[1]","1","DZA only","GxE","Q52892","NOEA_RHIME","reviewed","Nodulation protein NoeA","noeA RA0416 SMa0773","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",476,NA,NA,NA,NA,NA
