"region","gene_ID","RefSeq_ID","ncbi_func","traits","lines","overlap"
"pSymA","CDO30_19045","NP_435736.1","hypothetical protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19050","NP_435735.1","error-prone DNA polymerase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19100","NP_435728.1","glutamine--fructose-6-phosphate aminotransferase","height","DZA","trait_only"
"pSymA","CDO30_19105","NP_435727.1","nodulation protein NolF","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19110","NP_435726.1","nodulation protein NolG","height","DZA","trait_only"
"pSymA","CDO30_19115","NP_435725.1","nodulation protein N","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19145","NP_435719.1","chitooligosaccharide synthase NodC","height","A17, DZA","trait_only"
"pSymA","CDO30_19155","NP_435717.1","nodulation protein J","height.plast","DZA","plast_only"
"pSymA","CDO30_19170","NP_435715.1","adenylyl-sulfate kinase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19175","NP_435714.1","sulfate adenylyltransferase subunit 2","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19190","NP_435712.1","nodulation protein E","height, height.plast","A17, DZA","both_traits"
"pSymA","CDO30_19200","NP_435710.1","nodulation protein H","height","DZA","trait_only"
"pSymA","CDO30_19230","WP_014531676.1","polypeptide","height","DZA","trait_only"
"pSymA","CDO30_19275","NP_435698.1","nitrogenase iron-molybdenum cofactor biosynthesis protein NifE","height","DZA, A17","trait_only"
"pSymA","CDO30_19280","NP_435697.1","nitrogenase molybdenum-iron protein subunit beta","height","A17","trait_only"
"pSymA","CDO30_19285","NP_435696.1","nitrogenase molybdenum-iron protein alpha chain","height.plast","DZA","plast_only"
"pSymA","CDO30_19315","WP_015242440.1","hypothetical protein","height","DZA","trait_only"
"pSymA","CDO30_19320","NP_435693.1","protein FixA","height.plast","DZA","plast_only"
"pSymA","CDO30_19360","NP_435685.2","hypothetical protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19370","NP_435683.1","NAD-dependent succinate-semialdehyde dehydrogenase","height","DZA","trait_only"
"pSymA","CDO30_19385","NP_435680.1","ABC transporter permease","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19390","NP_435679.2","ABC transporter substrate-binding protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19430","NP_435671.2","GntR family transcriptional regulator","height","DZA","trait_only"
"pSymA","CDO30_19510","NP_435662.1","nodulation protein NoeA","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19525","NP_435660.1","hypothetical protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19530","NP_435659.1","cytochrome-c oxidase%2C cbb3-type subunit III","height","DZA","trait_only"
"pSymA","CDO30_19545","NP_435656.1","cytochrome c oxidase%2C cbb3-type subunit I","height","A17","trait_only"
"pSymA","CDO30_19555","NP_435654.1","transcriptional regulator","height.plast","DZA","plast_only"
"pSymA","CDO30_19570","YP_001314587.1","flavin reductase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19590","NP_435648.1","flavin reductase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19625","WP_015338933.1","co-chaperone GroES","height.plast","DZA","plast_only"
"pSymA","CDO30_19630","NP_435641.1","molecular chaperone GroEL","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19665","NP_435634.1","DUF2280 domain-containing protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19670","YP_001314656.1","hypothetical protein","height","DZA","trait_only"
"pSymA","CDO30_19685","NP_435632.2","N-acetyltransferase","height","DZA","trait_only"
"pSymA","CDO30_19690","NP_435630.1","VOC family protein","height","DZA","trait_only"
"pSymA","CDO30_19695","NP_435629.1","IS66 family insertion sequence hypothetical protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19700","NP_435628.1","NAD(P)-dependent oxidoreductase","height","A17","trait_only"
"pSymA","CDO30_19705","NP_435627.1","IclR family transcriptional regulator","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19710","NP_435626.1","NAD(P)-dependent oxidoreductase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19720","NP_435624.1","ABC transporter ATP-binding protein","height","A17","trait_only"
"pSymA","CDO30_19725","NP_435623.1","carbohydrate ABC transporter permease","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19730","YP_001312338.1","sugar ABC transporter permease","height","DZA","trait_only"
"pSymA","CDO30_19735","NP_435621.1","sugar ABC transporter substrate-binding protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19740","NP_435620.1","enolase","height","DZA","trait_only"
"pSymA","CDO30_19745","NP_435619.1","dihydrodipicolinate synthase family protein","height","DZA","trait_only"
"pSymA","CDO30_19750","NP_435618.2","2-dehydro-3-deoxygalactonokinase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19755","NP_435617.1","Ion channel","height","A17","trait_only"
"pSymA","CDO30_19760","YP_001314405.1","glycerol transporter","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19765","NP_435616.1","histidine kinase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19770","NP_435615.1","carbamate kinase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19775","NP_435614.1","ornithine carbamoyltransferase","height","A17","trait_only"
"pSymA","CDO30_19780","NP_435613.1","arginine deiminase","height, height.plast","A17, DZA","both_traits"
"pSymA","CDO30_19785","WP_018010500.1","hypothetical protein","height","DZA","trait_only"
"pSymA","CDO30_19790","NP_435612.1","DUF3300 domain-containing protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19795","NP_435611.1","DUF2950 domain-containing protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19800","NP_435610.2","hypothetical protein","height","DZA, A17","trait_only"
"pSymA","CDO30_19805","NP_435609.1","amino acid permease","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19810","NP_435608.2","cation transporter","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19815","NP_435607.4","lysine decarboxylase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19830","NP_435607.4","lysine decarboxylase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19835","YP_001313905.1","amino acid decarboxylase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19840","NP_435605.1","putrescine-ornithine antiporter","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19845","NP_435604.2","amino acid ABC transporter substrate-binding protein","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19850","NP_435603.2","calcium/proton exchanger","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19855","NP_435602.1","hypothetical protein","height","DZA","trait_only"
"pSymA","CDO30_19875","NP_435600.1","polyphosphate kinase 2","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19880","NP_435599.1","HlyD family secretion protein","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19885","NP_435598.1","hypothetical protein","height","DZA, A17","trait_only"
"pSymA","CDO30_19890","NP_435597.2","AI-2E family transporter","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19895","NP_435596.1","hypothetical protein","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_19900","NP_435595.1","hypothetical protein","height.plast","DZA","plast_only"
"pSymA","CDO30_19905","NP_435594.1","transcriptional regulator","height, height.plast","DZA","both_traits"
"pSymA","CDO30_19910","NP_435593.1","hypothetical protein","height, height.plast","A17, DZA","both_traits"
"pSymA","CDO30_20010","NP_435579.1","hypothetical protein","height, height.plast","A17","both_traits"
"pSymA","CDO30_20015","NP_435578.1","hypothetical protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_20020","NP_435577.1","mechanosensitive ion channel family protein","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_20025","NP_435576.1","hypothetical protein","height.plast","DZA","plast_only"
"pSymA","CDO30_20030","NP_435575.1","aquaporin Z","height, height.plast","DZA","both_traits"
"pSymA","CDO30_20040","NP_435574.1","hypothetical protein","height.plast","DZA","plast_only"
"pSymA","CDO30_20045","NP_435573.1","hypothetical protein","height.plast","A17","plast_only"
"pSymA","CDO30_20055","NP_435572.1","cbb3-type cytochrome oxidase assembly protein CcoS","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_20060","NP_435571.1","copper-translocating P-type ATPase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_20065","NP_435570.1","DUF2189 domain-containing protein","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_20075","NP_435569.1","cytochrome-c oxidase%2C cbb3-type subunit III","height, height.plast","DZA","both_traits"
"pSymA","CDO30_20085","NP_435567.1","cytochrome c oxidase%2C cbb3-type subunit II","height","A17","trait_only"
"pSymA","CDO30_20090","NP_435566.1","cytochrome c oxidase%2C cbb3-type subunit I","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_20095","WP_017267631.1","hypothetical protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_20100","YP_001313599.1","cell envelope protein","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_20105","NP_435563.1","hypothetical protein","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_20110","NP_435562.1","hypothetical protein","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_20115","NP_435561.2","DUF2092 domain-containing protein","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_20120","WP_017271444.1","hypothetical protein","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_20125","NP_435560.2","adenylate cyclase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_20130","NP_435559.2","alpha/beta hydrolase","height, height.plast","A17, DZA","both_traits"
"pSymA","CDO30_20160","NP_435553.1","nitrate ABC transporter substrate-binding protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_20165","NP_435552.1","nitrate ABC transporter%2C permease protein","height","DZA","trait_only"
"pSymA","CDO30_20175","NP_435549.2","guanylate cyclase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_20180","NP_435548.1","branched chain amino acid ABC transporter substrate-binding protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_20200","WP_013845882.1","addiction module antitoxin","height","A17","trait_only"
"pSymA","CDO30_21030","NP_435404.4","response regulator","height","DZA","trait_only"
"pSymA","CDO30_21040","NP_435401.1","TIGR02587 family membrane protein","height","DZA","trait_only"
"pSymA","CDO30_21050","NP_435399.1","DUF433 domain-containing protein","height","DZA","trait_only"
"pSymA","CDO30_21070","NP_435396.1","glutaredoxin","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21090","NP_435393.1","DUF2200 domain-containing protein","height.plast","A17","plast_only"
"pSymA","CDO30_21100","NP_435391.1","ABC transporter substrate-binding protein","height.plast","A17","plast_only"
"pSymA","CDO30_21105","NP_435390.1","ABC transporter permease","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21115","NP_435388.1","GntR family transcriptional regulator","height","DZA","trait_only"
"pSymA","CDO30_21120","NP_435387.1","dehydrogenase","height","DZA","trait_only"
"pSymA","CDO30_21125","NP_435386.1","alcohol dehydrogenase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21130","NP_435385.1","NAD-dependent succinate-semialdehyde dehydrogenase","height","DZA","trait_only"
"pSymA","CDO30_21140","NP_435383.1","NADH:flavin oxidoreductase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21145","NP_435382.1","3'-5' exonuclease","height","DZA","trait_only"
"pSymA","CDO30_21155","NP_435380.1","TRAP transporter substrate-binding protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21160","NP_435379.1","L-dehydroascorbate transporter large permease subunit","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21165","NP_435378.1","TRAP transporter permease DctQ","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21170","NP_435377.1","fumarylacetoacetate hydrolase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21175","NP_435376.2","FadR family transcriptional regulator","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21180","NP_435375.1","FAD-binding oxidoreductase","height","DZA","trait_only"
"pSymA","CDO30_21185","NP_435374.1","NAD-dependent epimerase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21190","NP_435373.1","NAD(P)-dependent oxidoreductase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21195","NP_435372.1","dihydroxy-acid dehydratase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21200","NP_435371.1","trehalose-6-phosphate synthase","height","DZA, A17","trait_only"
"pSymA","CDO30_21215","WP_014990337.1","hypothetical protein","height","DZA, A17","trait_only"
"pSymA","CDO30_21220","NP_435368.1","glutamate dehydrogenase","height","DZA","trait_only"
"pSymA","CDO30_21225","NP_435367.2","dehydrogenase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21230","NP_435366.2","MFS transporter","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21240","NP_435364.1","GntR family transcriptional regulator","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21245","NP_435363.1","sorbosone dehydrogenase","height","DZA","trait_only"
"pSymA","CDO30_21250","NP_435362.2","ABC transporter substrate-binding protein","height","DZA, A17","trait_only"
"pSymA","CDO30_21255","NP_435361.2","ABC transporter permease","height","DZA, A17","trait_only"
"pSymA","CDO30_21260","YP_001313952.1","sugar ABC transporter ATP-binding protein","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21265","NP_435359.2","5-keto-4-deoxyuronate isomerase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21270","NP_435358.1","hypothetical protein","height","A17","trait_only"
"pSymA","CDO30_21280","NP_435356.1","hypothetical protein","height","DZA","trait_only"
"pSymA","CDO30_21285","NP_435355.1","DNA-binding response regulator","height, height.plast","A17, DZA","both_traits"
"pSymA","CDO30_21295","NP_435353.2","ABC transporter substrate-binding protein","height, height.plast","A17, DZA","both_traits"
"pSymA","CDO30_21345","NP_435345.1","hypothetical protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21355","NP_435343.1","MFS transporter","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21365","NP_435341.1","PhzF family phenazine biosynthesis protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21370","NP_435340.1","LysR family transcriptional regulator","height.plast","DZA","plast_only"
"pSymA","CDO30_21380","YP_002823300.1","GYD domain-containing protein","height.plast","DZA","plast_only"
"pSymA","CDO30_21385","NP_435339.1","mechanosensitive ion channel family protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21390","NP_435338.1","polyphosphate kinase 2","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21400","NP_435336.1","class I SAM-dependent methyltransferase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21405","NP_435335.1","class I SAM-dependent methyltransferase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21420","NP_435332.2","secretin","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21425","NP_435330.1","GntR family transcriptional regulator","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21435","NP_435328.1","TRAP transporter small permease","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21440","YP_001313846.1","TRAP transporter large permease","height, height.plast","A17, DZA","both_traits"
"pSymA","CDO30_21445","YP_001313847.1","MCD%2C Malonyl-CoA decarboxylase MCD","height","DZA","trait_only"
"pSymA","CDO30_21450","NP_435326.1","malonyl-CoA synthase","height","A17","trait_only"
"pSymA","CDO30_21460","NP_435324.1","hypothetical protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21470","NP_435322.1","anti-sigma factor","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21480","NP_435320.1","protease","height","A17, DZA","trait_only"
"pSymA","CDO30_21490","NP_435318.2","bifunctional diguanylate cyclase/phosphodiesterase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21495","NP_435317.2","AI-2E family transporter","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21505","NP_435316.1","hypothetical protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21510","NP_435315.1","hypothetical protein","height","DZA","trait_only"
"pSymA","CDO30_21515","NP_435314.1","fatty acid desaturase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21520","NP_435313.1","hypothetical protein","height","DZA, A17","trait_only"
"pSymA","CDO30_21530","NP_435311.1","co-chaperone GroES","height","DZA","trait_only"
"pSymA","CDO30_21535","NP_435310.1","molecular chaperone GroEL","height","DZA, A17","trait_only"
"pSymA","CDO30_21540","NP_435309.1","hypothetical protein","height","A17","trait_only"
"pSymA","CDO30_21555","NP_435306.1","hypothetical protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21575","NP_435303.1","histidine kinase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21590","NP_435301.1","ABC transporter ATP-binding protein","height, height.plast","A17","both_traits"
"pSymA","CDO30_21600","NP_435299.1","ABC transporter permease","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21610","NP_435297.1","ABC transporter substrate-binding protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21620","NP_435295.1","LysR family transcriptional regulator","height, height.plast","A17","both_traits"
"pSymA","CDO30_21625","NP_435294.1","D-aminopeptidase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21630","NP_435293.1","D-amino acid aminotransferase","height","DZA","trait_only"
"pSymA","CDO30_21650","NP_435289.1","2-hydroxyacid dehydrogenase","height","DZA","trait_only"
"pSymA","CDO30_21670","NP_435285.1","amino acid ABC transporter permease","height","DZA","trait_only"
"pSymA","CDO30_21675","NP_435284.1","LacI family transcriptional regulator","height, height.plast","A17, DZA","both_traits"
"pSymA","CDO30_21680","NP_435283.1","aldose 1-epimerase","height, height.plast","A17","both_traits"
"pSymA","CDO30_21690","NP_435281.1","sugar ABC transporter ATP-binding protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21695","NP_435280.1","ABC transporter permease","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21710","NP_435277.2","dehydratase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21715","NP_435276.2","FadR family transcriptional regulator","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21725","NP_435274.1","gluconolactonase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21735","NP_435272.1","AGE family epimerase/isomerase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21740","YP_001314472.1","mandelate racemase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21780","NP_435265.2","NADPH:quinone reductase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21785","NP_435264.2","LysR family transcriptional regulator","height","DZA, A17","trait_only"
"pSymA","CDO30_21790","NP_435263.1","ABC transporter ATP-binding protein","height","DZA","trait_only"
"pSymA","CDO30_21795","NP_435262.1","protease","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21810","NP_435259.1","hypothetical protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21815","NP_435258.2","transglutaminase family protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21865","YP_002000327.1","hypothetical protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21870","NP_435254.1","hypothetical protein","height, height.plast","A17, DZA","both_traits"
"pSymA","CDO30_21875","NP_435253.1","selenocysteine-specific translation elongation factor","height","A17, DZA","trait_only"
"pSymA","CDO30_21885","NP_435251.1","L-selenocysteinyl-tRNA(Sec) synthase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21890","NP_435250.1","formate dehydrogenase accessory protein FdhE","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21895","NP_435249.1","formate dehydrogenase subunit gamma","height","A17","trait_only"
"pSymA","CDO30_21905","NP_435247.1","formate dehydrogenase-N subunit alpha","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_21915","NP_436539.2","plasmid partitioning protein RepB","height","DZA","trait_only"
"pSymA","CDO30_21920","NP_436538.1","replication initiation protein RepC","height","DZA","trait_only"
"pSymA","CDO30_21925","NP_436537.2","peroxiredoxin","height","DZA","trait_only"
"pSymA","CDO30_21930","NP_436536.2","TetR/AcrR family transcriptional regulator","height","DZA","trait_only"
"pSymA","CDO30_21935","NP_436535.1","ABC transporter ATP-binding protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21940","NP_436534.1","quinone oxidoreductase","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21955","NP_436532.1","catalase/peroxidase HPI","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21960","NP_436531.1","MFS transporter","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21970","YP_002000364.1","cupin","height.plast","DZA","plast_only"
"pSymA","CDO30_21975","NP_436528.1","cytosine deaminase","height, height.plast","A17, DZA","both_traits"
"pSymA","CDO30_21980","NP_436527.1","ABC transporter permease","height.plast","A17","plast_only"
"pSymA","CDO30_21985","NP_436526.1","ABC transporter permease","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21990","NP_436525.1","ABC transporter ATP-binding protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_21995","NP_436524.1","amidase","height, height.plast","A17","both_traits"
"pSymA","CDO30_22000","NP_436523.1","BMP family ABC transporter substrate-binding protein","height, height.plast","A17, DZA","both_traits"
"pSymA","CDO30_22030","NP_436519.2","oxidoreductase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_22035","NP_436518.1","molybdopterin dehydrogenase","height, height.plast","A17, DZA","both_traits"
"pSymA","CDO30_22045","NP_436516.2","class I SAM-dependent methyltransferase","height, height.plast","DZA, A17","both_traits"
"pSymA","CDO30_22050","YP_002000363.1","hypothetical protein","height","DZA","trait_only"
"pSymA","CDO30_22060","NP_436514.1","NAD(P)-dependent oxidoreductase","height","A17","trait_only"
"pSymA","CDO30_22065","NP_436513.2","LysR family transcriptional regulator","height.plast","DZA","plast_only"
"pSymA","CDO30_22120","NP_436502.1","hypothetical protein","height, height.plast","DZA","both_traits"
"pSymA","CDO30_22130","NP_436501.1","potassium-transporting ATPase A chain","height, height.plast","DZA","both_traits"
"pSymA","CDO30_22135","NP_436500.1","potassium-transporting ATPase subunit B","height, height.plast","DZA","both_traits"
"pSymA","CDO30_22140","NP_436499.1","potassium-transporting ATPase subunit C","height, height.plast","DZA","both_traits"
"pSymA","CDO30_22145","NP_436498.1","sensor histidine kinase KdpD","height, height.plast","DZA","both_traits"
"pSymA","CDO30_22150","NP_436497.1","DNA-binding response regulator","height.plast","A17","plast_only"
