"region","gene_ID","RefSeq_ID","ncbi_func","traits","lines","overlap"
"Chromosome","CDO30_02525","NP_385167.1","outer membrane autotransporter barrel domain-containing protein","leaf","A17","trait_only"
"Chromosome","CDO30_02545","NP_385164.1","lytic transglycosylase","leaf","A17","trait_only"
"Chromosome","CDO30_02565","NP_385159.1","site-specific integrase","leaf","DZA","trait_only"
"Chromosome","CDO30_02570","NP_385158.1","porin","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_02610","NP_385153.1","DUF2147 domain-containing protein","leaf","A17","trait_only"
"Chromosome","CDO30_02645","NP_385146.1","glycosyltransferase","leaf.plast","A17","plast_only"
"Chromosome","CDO30_02850","NP_385109.2","peptidoglycan-binding protein","leaf","A17","trait_only"
"Chromosome","CDO30_02855","NP_385108.1","two-component sensor histidine kinase","leaf","A17","trait_only"
"Chromosome","CDO30_02905","NP_385098.1","Na(+)/H(+) antiporter subunit A","leaf","A17","trait_only"
"Chromosome","CDO30_02980","YP_001326281.1","cytochrome C556","leaf.plast","DZA","plast_only"
"Chromosome","CDO30_03235","YP_001326238.1","chromosome segregation protein SMC","leaf","A17","trait_only"
"Chromosome","CDO30_03370","NP_385012.1","protoheme IX farnesyltransferase","leaf.plast","DZA","plast_only"
"Chromosome","CDO30_03450","NP_384997.1","winged helix-turn-helix domain-containing protein","leaf.plast","DZA","plast_only"
"Chromosome","CDO30_03455","NP_384996.1","ABC transporter ATP-binding protein","leaf","A17","trait_only"
"Chromosome","CDO30_03515","NP_384984.1","RNA methyltransferase","leaf.plast","A17","plast_only"
"Chromosome","CDO30_03615","NP_384966.1","spermidine/putrescine ABC transporter substrate-binding protein","leaf.plast","A17","plast_only"
"Chromosome","CDO30_03645","NP_384960.1","DUF2207 domain-containing protein","leaf.plast","A17","plast_only"
"Chromosome","CDO30_03705","NP_384948.1","hypothetical protein","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_03735","NP_384943.1","ATP synthase subunit b 2","leaf.plast","A17","plast_only"
"Chromosome","CDO30_03825","NP_384926.1","trimethylamine methyltransferase","leaf","A17","trait_only"
"Chromosome","CDO30_03870","NP_384916.1","3-deoxy-D-manno-octulosonic acid transferase","leaf","A17","trait_only"
"Chromosome","CDO30_03910","NP_384908.1","16S rRNA (guanine(966)-N(2))-methyltransferase RsmD","leaf","A17","trait_only"
"Chromosome","CDO30_03960","NP_384898.1","molecular chaperone GroEL","leaf.plast","A17","plast_only"
"Chromosome","CDO30_03985","NP_384893.1","ATP phosphoribosyltransferase regulatory subunit","leaf","A17","trait_only"
"Chromosome","CDO30_04105","NP_384869.1","hydrogen peroxide-inducible genes activator","leaf","A17","trait_only"
"Chromosome","CDO30_04355","NP_384826.1","iron ABC transporter permease","leaf.plast","A17","plast_only"
"Chromosome","CDO30_04365","NP_384824.1","cell envelope biogenesis protein AsmA","leaf.plast","DZA","plast_only"
"Chromosome","CDO30_04380","NP_384821.1","ABC transporter ATP-binding protein","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_04425","NP_384813.1","aminoacetone oxidase family FAD-binding enzyme","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_04565","NP_384786.1","flagellar hook-associated protein FlgK","leaf","A17","trait_only"
"Chromosome","CDO30_04665","NP_384766.1","flagellar basal body rod protein FlgC","leaf","A17","trait_only"
"Chromosome","CDO30_04695","NP_384760.1","flagellar motor stator protein MotA","leaf.plast","A17","plast_only"
"Chromosome","CDO30_04700","NP_384759.1","flagellar motor switch protein FliM","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_04710","NP_384757.1","flagellar motor switch protein FliG","leaf.plast","DZA","plast_only"
"Chromosome","CDO30_04830","NP_384734.1","bifunctional rhamnulose-1-phosphate aldolase/short-chain dehydrogenase","leaf.plast","DZA","plast_only"
"Chromosome","CDO30_04845","NP_384731.1","hypothetical protein","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_04865","NP_384727.1","hypothetical protein","leaf.plast","DZA","plast_only"
"Chromosome","CDO30_04935","NP_384715.1","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","leaf.plast","A17","plast_only"
"Chromosome","CDO30_05050","NP_384687.1","hypothetical protein","leaf.plast","DZA","plast_only"
"Chromosome","CDO30_05065","NP_384684.2","capsule biosynthesis protein","leaf, leaf.plast","DZA","both_traits"
"Chromosome","CDO30_05070","NP_384683.1","beta-ketoacyl synthase","leaf, leaf.plast","A17, DZA","both_traits"
"Chromosome","CDO30_05080","NP_384681.1","translocation protein","leaf, leaf.plast","DZA, A17","both_traits"
"Chromosome","CDO30_05190","NP_384659.1","hybrid sensor histidine kinase/response regulator","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_05280","YP_001325841.1","peptidoglycan-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"Chromosome","CDO30_05400","NP_384618.1","phosphate ABC transporter%2C permease protein PstA","leaf","A17","trait_only"
"Chromosome","CDO30_05610","NP_384578.1","Crp/Fnr family transcriptional regulator","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_05920","NP_384520.1","heat-shock protein Hsp20","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_06005","NP_384503.1","lipid II flippase MurJ","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_06065","NP_384491.1","signal peptide peptidase SppA","leaf.plast","A17","plast_only"
"Chromosome","CDO30_06090","NP_384486.1","ribosomal subunit interface protein","leaf.plast","A17","plast_only"
"Chromosome","CDO30_06145","NP_384476.1","hypothetical protein","leaf, leaf.plast","DZA, A17","both_traits"
"Chromosome","CDO30_06275","NP_384453.1","EamA/RhaT family transporter","leaf.plast","DZA","plast_only"
"Chromosome","CDO30_06290","NP_384450.1","Lrp/AsnC family transcriptional regulator","leaf, leaf.plast","DZA","both_traits"
"Chromosome","CDO30_06845","NP_384342.1","ribosome maturation factor","leaf, leaf.plast","DZA","both_traits"
"Chromosome","CDO30_07880","NP_384148.1","serine kinase","leaf.plast","A17","plast_only"
"Chromosome","CDO30_08455","NP_387391.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"Chromosome","CDO30_09695","NP_387167.1","ABC transporter ATP-binding protein","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_10015","NP_387103.1","DUF490 domain-containing protein","leaf.plast","DZA","plast_only"
"Chromosome","CDO30_10080","NP_387091.1","calcium-binding protein","leaf","DZA","trait_only"
"Chromosome","CDO30_11270","NP_386868.1","transketolase","leaf, leaf.plast","DZA","both_traits"
"Chromosome","CDO30_11455","WP_018481713.1","adenylosuccinate synthetase","leaf","DZA","trait_only"
"Chromosome","CDO30_11655","NP_386796.1","amidohydrolase","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_11840","NP_386758.1","response regulator","leaf.plast","A17","plast_only"
"Chromosome","CDO30_11850","NP_386756.1","TIGR02302 family protein","leaf.plast","A17","plast_only"
"Chromosome","CDO30_12005","NP_386726.1","SAM-dependent methyltransferase","leaf.plast","DZA","plast_only"
"Chromosome","CDO30_12115","NP_386712.1","MBL fold metallo-hydrolase","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_12125","NP_386710.2","LysR family transcriptional regulator","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_12150","NP_386705.1","ABC transporter ATP-binding protein","leaf.plast","A17","plast_only"
"Chromosome","CDO30_12195","NP_386696.1","hydrolase","leaf.plast","A17","plast_only"
"Chromosome","CDO30_12200","NP_386695.1","aspartate aminotransferase family protein","leaf.plast","A17","plast_only"
"Chromosome","CDO30_12265","NP_386682.1","oxidoreductase","leaf","DZA","trait_only"
"Chromosome","CDO30_12310","NP_386673.1","oxidoreductase","leaf, leaf.plast","DZA","both_traits"
"Chromosome","CDO30_12365","NP_386662.1","shikimate dehydrogenase","leaf","DZA","trait_only"
"Chromosome","CDO30_12375","NP_386660.1","glucose-6-phosphate isomerase","leaf.plast","A17","plast_only"
"Chromosome","CDO30_13040","NP_386531.1","energy transducer TonB","leaf","A17","trait_only"
"Chromosome","CDO30_13110","NP_386517.1","ABC transporter permease","leaf","A17","trait_only"
"Chromosome","CDO30_13195","NP_386501.1","ATP-binding protein","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_13240","NP_386492.1","cation transporter","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_13360","NP_386468.1","CCA tRNA nucleotidyltransferase","leaf.plast","A17","plast_only"
"Chromosome","CDO30_13395","NP_386461.1","peptidyl-tRNA hydrolase","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_13440","NP_386452.1","aminopeptidase P family protein","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_13560","NP_386427.1","transcriptional regulator","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_13660","NP_386410.1","acyl carrier protein","leaf","DZA","trait_only"
"Chromosome","CDO30_13680","WP_013844672.1","DNA helicase","leaf, leaf.plast","DZA, A17","both_traits"
"Chromosome","CDO30_14015","NP_386342.1","ABC transporter ATP-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"Chromosome","CDO30_14020","NP_386341.1","carbohydrate kinase","leaf.plast","A17","plast_only"
"Chromosome","CDO30_14375","NP_386274.1","cell division protein FtsZ","leaf, leaf.plast","DZA","both_traits"
"Chromosome","CDO30_14545","YP_001327698.1","hypothetical protein","leaf.plast","A17","plast_only"
"Chromosome","CDO30_14995","NP_386156.1","adenylate/guanylate cyclase domain-containing protein","leaf.plast","DZA","plast_only"
"Chromosome","CDO30_15225","NP_386118.1","hypothetical protein","leaf.plast","DZA","plast_only"
"Chromosome","CDO30_15265","NP_386111.1","mechanosensitive ion channel family protein","leaf.plast","A17","plast_only"
"Chromosome","CDO30_15615","NP_386046.1","beta-ketoacyl-ACP synthase II","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_15655","NP_386039.1","sodium:alanine symporter family protein","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_16260","NP_385922.1","kinesin","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_16390","NP_385897.1","FUSC family protein","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_16405","NP_385894.1","ATP-binding protein","leaf","A17","trait_only"
"Chromosome","CDO30_16435","NP_385888.1","MFS transporter","leaf.plast","A17","plast_only"
"Chromosome","CDO30_16580","NP_385861.1","peptidase T4","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_17105","NP_385770.1","hypothetical protein","leaf.plast","A17","plast_only"
"Chromosome","CDO30_17175","WP_013844467.1","hypothetical protein","leaf","A17","trait_only"
"Chromosome","CDO30_17185","NP_385755.1","exodeoxyribonuclease III","leaf.plast","A17","plast_only"
"Chromosome","CDO30_17385","NP_385719.1","hypothetical protein","leaf, leaf.plast","A17","both_traits"
"Chromosome","CDO30_17610","NP_385682.1","carbamoyl phosphate synthase large subunit","leaf.plast","A17","plast_only"
"Chromosome","CDO30_17765","NP_385655.1","glycine cleavage system protein T","leaf.plast","A17","plast_only"
"pSymA","CDO30_17830","NP_435959.2","hypothetical protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_17850","NP_435955.1","P-type DNA transfer ATPase VirB11","leaf","A17","trait_only"
"pSymA","CDO30_17855","NP_435954.2","MFS transporter","leaf","DZA","trait_only"
"pSymA","CDO30_18040","NP_435920.1","periplasmic nitrate reductase subunit alpha","leaf","A17","trait_only"
"pSymA","CDO30_18045","NP_435919.1","nitrate reductase","leaf","DZA, A17","trait_only"
"pSymA","CDO30_18050","NP_435918.1","cytochrome C","leaf","DZA","trait_only"
"pSymA","CDO30_18805","NP_435777.2","LysR family transcriptional regulator","leaf","DZA","trait_only"
"pSymA","CDO30_18815","WP_013845417.1","AbrB/MazE/SpoVT family DNA-binding domain-containing protein","leaf","DZA","trait_only"
"pSymA","CDO30_18935","NP_435753.1","sensor histidine kinase","leaf, leaf.plast","A17","both_traits"
"pSymA","CDO30_18940","NP_435752.1","mechanosensitive ion channel family protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_18945","NP_435751.1","Ti-type conjugative transfer relaxase TraA","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_18950","NP_435750.1","pilus assembly protein","leaf.plast","DZA","plast_only"
"pSymA","CDO30_18960","NP_435748.1","Ti-type conjugative transfer system protein TraG","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_18995","NP_435745.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19000","NP_435744.1","DUF2493 domain-containing protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19005","NP_435743.2","DNA primase","leaf.plast","DZA","plast_only"
"pSymA","CDO30_19020","NP_435741.1","DUF1173 domain-containing protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19030","NP_435739.2","DUF932 domain-containing protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19035","NP_435738.1","antirestriction protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19040","NP_435737.1","plasmid pRiA4b ORF-3 family protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19045","NP_435736.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19050","NP_435735.1","error-prone DNA polymerase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19055","NP_435734.1","nucleotidyltransferase","leaf, leaf.plast","A17","both_traits"
"pSymA","CDO30_19100","NP_435728.1","glutamine--fructose-6-phosphate aminotransferase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19105","NP_435727.1","nodulation protein NolF","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19125","NP_435723.1","hypothetical protein","leaf","DZA","trait_only"
"pSymA","CDO30_19145","NP_435719.1","chitooligosaccharide synthase NodC","leaf","DZA","trait_only"
"pSymA","CDO30_19160","WP_014531651.1","hypothetical protein","leaf","A17","trait_only"
"pSymA","CDO30_19170","NP_435715.1","adenylyl-sulfate kinase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19175","NP_435714.1","sulfate adenylyltransferase subunit 2","leaf, leaf.plast","A17","both_traits"
"pSymA","CDO30_19230","WP_014531676.1","polypeptide","leaf.plast","DZA","plast_only"
"pSymA","CDO30_19280","NP_435697.1","nitrogenase molybdenum-iron protein subunit beta","leaf","A17","trait_only"
"pSymA","CDO30_19315","WP_015242440.1","hypothetical protein","leaf","A17","trait_only"
"pSymA","CDO30_19325","YP_001314765.1","electron transfer flavoprotein subunit alpha/FixB family protein","leaf","A17","trait_only"
"pSymA","CDO30_19330","NP_435691.1","protein FixC","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19385","NP_435680.1","ABC transporter permease","leaf.plast","DZA","plast_only"
"pSymA","CDO30_19390","NP_435679.2","ABC transporter substrate-binding protein","leaf.plast","DZA","plast_only"
"pSymA","CDO30_19525","NP_435660.1","hypothetical protein","leaf","A17","trait_only"
"pSymA","CDO30_19530","NP_435659.1","cytochrome-c oxidase%2C cbb3-type subunit III","leaf","DZA, A17","trait_only"
"pSymA","CDO30_19540","NP_435657.1","cytochrome c oxidase%2C cbb3-type subunit II","leaf","DZA","trait_only"
"pSymA","CDO30_19590","NP_435648.1","flavin reductase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19625","WP_015338933.1","co-chaperone GroES","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19630","NP_435641.1","molecular chaperone GroEL","leaf.plast","DZA","plast_only"
"pSymA","CDO30_19695","NP_435629.1","IS66 family insertion sequence hypothetical protein","leaf","A17, DZA","trait_only"
"pSymA","CDO30_19705","NP_435627.1","IclR family transcriptional regulator","leaf","A17","trait_only"
"pSymA","CDO30_19710","NP_435626.1","NAD(P)-dependent oxidoreductase","leaf","DZA","trait_only"
"pSymA","CDO30_19725","NP_435623.1","carbohydrate ABC transporter permease","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19730","YP_001312338.1","sugar ABC transporter permease","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19735","NP_435621.1","sugar ABC transporter substrate-binding protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19740","NP_435620.1","enolase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19745","NP_435619.1","dihydrodipicolinate synthase family protein","leaf","DZA","trait_only"
"pSymA","CDO30_19750","NP_435618.2","2-dehydro-3-deoxygalactonokinase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19760","YP_001314405.1","glycerol transporter","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19765","NP_435616.1","histidine kinase","leaf","DZA","trait_only"
"pSymA","CDO30_19770","NP_435615.1","carbamate kinase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19775","NP_435614.1","ornithine carbamoyltransferase","leaf","A17, DZA","trait_only"
"pSymA","CDO30_19780","NP_435613.1","arginine deiminase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19785","WP_018010500.1","hypothetical protein","leaf.plast","DZA","plast_only"
"pSymA","CDO30_19790","NP_435612.1","DUF3300 domain-containing protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19795","NP_435611.1","DUF2950 domain-containing protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19800","NP_435610.2","hypothetical protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19805","NP_435609.1","amino acid permease","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19810","NP_435608.2","cation transporter","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_19815","NP_435607.4","lysine decarboxylase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19830","NP_435607.4","lysine decarboxylase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19835","YP_001313905.1","amino acid decarboxylase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19840","NP_435605.1","putrescine-ornithine antiporter","leaf","DZA","trait_only"
"pSymA","CDO30_19845","NP_435604.2","amino acid ABC transporter substrate-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19850","NP_435603.2","calcium/proton exchanger","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19855","NP_435602.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_19875","NP_435600.1","polyphosphate kinase 2","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_19880","NP_435599.1","HlyD family secretion protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_19885","NP_435598.1","hypothetical protein","leaf","A17","trait_only"
"pSymA","CDO30_19890","NP_435597.2","AI-2E family transporter","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19895","NP_435596.1","hypothetical protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19905","NP_435594.1","transcriptional regulator","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_19910","NP_435593.1","hypothetical protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_20010","NP_435579.1","hypothetical protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_20015","NP_435578.1","hypothetical protein","leaf, leaf.plast","A17","both_traits"
"pSymA","CDO30_20020","NP_435577.1","mechanosensitive ion channel family protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_20030","NP_435575.1","aquaporin Z","leaf.plast","DZA","plast_only"
"pSymA","CDO30_20035","YP_001314404.1","hypothetical protein","leaf.plast","DZA","plast_only"
"pSymA","CDO30_20040","NP_435574.1","hypothetical protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_20045","NP_435573.1","hypothetical protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_20055","NP_435572.1","cbb3-type cytochrome oxidase assembly protein CcoS","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_20060","NP_435571.1","copper-translocating P-type ATPase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_20065","NP_435570.1","DUF2189 domain-containing protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_20075","NP_435569.1","cytochrome-c oxidase%2C cbb3-type subunit III","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_20085","NP_435567.1","cytochrome c oxidase%2C cbb3-type subunit II","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_20090","NP_435566.1","cytochrome c oxidase%2C cbb3-type subunit I","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_20095","WP_017267631.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_20100","YP_001313599.1","cell envelope protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_20105","NP_435563.1","hypothetical protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_20110","NP_435562.1","hypothetical protein","leaf.plast","DZA, A17","plast_only"
"pSymA","CDO30_20115","NP_435561.2","DUF2092 domain-containing protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_20120","WP_017271444.1","hypothetical protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_20125","NP_435560.2","adenylate cyclase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_20130","NP_435559.2","alpha/beta hydrolase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_20155","YP_001326981.1","hypothetical protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_20160","NP_435553.1","nitrate ABC transporter substrate-binding protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_20165","NP_435552.1","nitrate ABC transporter%2C permease protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_20170","NP_435551.1","nitrate ABC transporter ATP-binding protein","leaf","A17","trait_only"
"pSymA","CDO30_20175","NP_435549.2","guanylate cyclase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_20180","NP_435548.1","branched chain amino acid ABC transporter substrate-binding protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_20200","WP_013845882.1","addiction module antitoxin","leaf","A17","trait_only"
"pSymA","CDO30_21070","NP_435396.1","glutaredoxin","leaf","A17","trait_only"
"pSymA","CDO30_21100","NP_435391.1","ABC transporter substrate-binding protein","leaf.plast","A17","plast_only"
"pSymA","CDO30_21105","NP_435390.1","ABC transporter permease","leaf.plast","DZA","plast_only"
"pSymA","CDO30_21115","NP_435388.1","GntR family transcriptional regulator","leaf.plast","DZA","plast_only"
"pSymA","CDO30_21125","NP_435386.1","alcohol dehydrogenase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21140","NP_435383.1","NADH:flavin oxidoreductase","leaf, leaf.plast","A17","both_traits"
"pSymA","CDO30_21150","NP_435381.1","hypothetical protein","leaf","DZA","trait_only"
"pSymA","CDO30_21160","NP_435379.1","L-dehydroascorbate transporter large permease subunit","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_21165","NP_435378.1","TRAP transporter permease DctQ","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21170","NP_435377.1","fumarylacetoacetate hydrolase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_21175","NP_435376.2","FadR family transcriptional regulator","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_21185","NP_435374.1","NAD-dependent epimerase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_21190","NP_435373.1","NAD(P)-dependent oxidoreductase","leaf","A17","trait_only"
"pSymA","CDO30_21195","NP_435372.1","dihydroxy-acid dehydratase","leaf.plast","DZA","plast_only"
"pSymA","CDO30_21200","NP_435371.1","trehalose-6-phosphate synthase","leaf","A17","trait_only"
"pSymA","CDO30_21210","NP_435369.1","transcription elongation factor GreAB","leaf","A17","trait_only"
"pSymA","CDO30_21215","WP_014990337.1","hypothetical protein","leaf","DZA, A17","trait_only"
"pSymA","CDO30_21225","NP_435367.2","dehydrogenase","leaf","DZA","trait_only"
"pSymA","CDO30_21230","NP_435366.2","MFS transporter","leaf","DZA","trait_only"
"pSymA","CDO30_21245","NP_435363.1","sorbosone dehydrogenase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21250","NP_435362.2","ABC transporter substrate-binding protein","leaf","DZA, A17","trait_only"
"pSymA","CDO30_21255","NP_435361.2","ABC transporter permease","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_21260","YP_001313952.1","sugar ABC transporter ATP-binding protein","leaf","DZA","trait_only"
"pSymA","CDO30_21265","NP_435359.2","5-keto-4-deoxyuronate isomerase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21270","NP_435358.1","hypothetical protein","leaf","A17","trait_only"
"pSymA","CDO30_21275","NP_435357.2","hypothetical protein","leaf","DZA","trait_only"
"pSymA","CDO30_21285","NP_435355.1","DNA-binding response regulator","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_21295","NP_435353.2","ABC transporter substrate-binding protein","leaf","A17","trait_only"
