"region","gene_ID","RefSeq_ID","ncbi_func","no_vars","no_traits","min_ps","max_ps","no_effects","min_score","max_score","ave_abs_score","ave_af","assocs","host"
"Chromosome","CDO30_02720","NP_385132.1","aminopeptidase N",1,1,538032,538032,1,0.2385836,0.2385836,0.2385836,0.168,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_02745","YP_001326328.1","serine peptidase",1,2,547462,547462,2,0.2002883,0.2415325,0.2209104,0.178,"nod+(A17-2)[1], nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_02800","NP_385117.1","hypothetical protein",1,1,556709,556709,1,0.3219994,0.3219994,0.3219994,0.063,"nod+(A17-2)[1]","A17 only"
"Chromosome","CDO30_02820","YP_002825313.1","hypothetical protein",1,1,560945,560945,1,-0.1868949,-0.1868949,0.1868949,0.241,"nod-(A17-2)[1]","A17 only"
"Chromosome","CDO30_02835","NP_385111.2","DUF2336 domain-containing protein",1,1,563279,563279,1,-0.1851947,-0.1851947,0.1851947,0.241,"nod-(A17-2)[1]","A17 only"
"Chromosome","CDO30_02850","NP_385109.2","peptidoglycan-binding protein",1,1,565226,565226,1,-0.3187705,-0.3187705,0.3187705,0.052,"leaf1-(A17-4)[1]","A17 only"
"Chromosome","CDO30_02855","NP_385108.1","two-component sensor histidine kinase",1,1,566087,566087,1,-0.1449853,-0.1449853,0.1449853,0.346,"leaf1-(A17-4)[1]","A17 only"
"Chromosome","CDO30_02870","NP_385105.1","transcriptional regulator",1,2,568690,568690,2,-0.2615438,0.04271761,0.152130705,0.22,"chloro1-(A17-2)[1], chloro.plast+(A17-24)[1]","A17 only"
"Chromosome","CDO30_02905","NP_385098.1","Na(+)/H(+) antiporter subunit A",1,1,575225,575225,1,0.1921474,0.1921474,0.1921474,0.173,"leaf1+(A17-4)[1]","A17 only"
"Chromosome","CDO30_02960","NP_385086.1","class A beta-lactamase",1,1,587839,587839,1,0.2071884,0.2071884,0.2071884,0.162,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_02980","YP_001326281.1","cytochrome C556",1,1,590586,590586,1,0.06572816,0.06572816,0.06572816,0.424,"leaf.plast+(DZA-13)[1]","DZA only"
"Chromosome","CDO30_03075","NP_385065.1","bifunctional diguanylate cyclase/phosphodiesterase",1,1,606529,606529,1,0.3595597,0.3595597,0.3595597,0.052,"nod+(A17-2)[1]","A17 only"
"Chromosome","CDO30_03210","NP_385042.1","MBL fold metallo-hydrolase",1,2,632172,632172,2,-0.03539273,0.2185782,0.126985465,0.141,"nod.weight+(A17-4)[1], chloro.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_03230","NP_385038.1","pyruvate%2C phosphate dikinase",1,1,636869,636869,1,-0.3086766,-0.3086766,0.3086766,0.058,"chloro1-(A17-2)[1]","A17 only"
"Chromosome","CDO30_03235","YP_001326238.1","chromosome segregation protein SMC",1,1,639453,639453,1,0.2366958,0.2366958,0.2366958,0.141,"leaf1+(A17-4)[1]","A17 only"
"Chromosome","CDO30_03245","NP_385036.1","disulfide bond formation protein DsbD",1,1,641910,641910,1,0.2307888,0.2307888,0.2307888,0.152,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_03275","NP_385030.1","HAD family hydrolase",1,1,647334,647334,1,0.2548279,0.2548279,0.2548279,0.136,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_03370","NP_385012.1","protoheme IX farnesyltransferase",1,1,665326,665326,1,0.06622466,0.06622466,0.06622466,0.398,"leaf.plast+(DZA-13)[1]","DZA only"
"Chromosome","CDO30_03450","NP_384997.1","winged helix-turn-helix domain-containing protein",1,1,681936,681936,1,0.06516974,0.06516974,0.06516974,0.377,"leaf.plast+(DZA-13)[1]","DZA only"
"Chromosome","CDO30_03455","NP_384996.1","ABC transporter ATP-binding protein",1,1,682632,682632,1,0.2082621,0.2082621,0.2082621,0.152,"leaf1+(A17-4)[1]","A17 only"
"Chromosome","CDO30_03470","NP_384993.1","long-chain fatty acid--CoA ligase",1,1,685212,685212,1,0.2437209,0.2437209,0.2437209,0.126,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_03515","NP_384984.1","RNA methyltransferase",1,1,693535,693535,1,-0.09325902,-0.09325902,0.09325902,0.099,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_03520","NP_384983.2","chemotaxis protein",1,1,695477,695477,1,0.246857,0.246857,0.246857,0.131,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_03615","NP_384966.1","spermidine/putrescine ABC transporter substrate-binding protein",1,1,717300,717300,1,-0.1122244,-0.1122244,0.1122244,0.079,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_03645","NP_384960.1","DUF2207 domain-containing protein",1,2,727075,727075,2,-0.08673478,0.2441978,0.16546629,0.11,"nod+(A17-2)[1], leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_03705","NP_384948.1","hypothetical protein",2,2,737551,737818,3,-0.3181721,-0.1128289,0.200965566666667,0.151666666666667,"leaf1-(A17-4)[2], leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_03735","NP_384943.1","ATP synthase subunit b 2",1,1,741955,741955,1,-0.101807,-0.101807,0.101807,0.089,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_03825","NP_384926.1","trimethylamine methyltransferase",1,1,759529,759529,1,-0.1457315,-0.1457315,0.1457315,0.398,"leaf1-(A17-4)[1]","A17 only"
"Chromosome","CDO30_03840","NP_384923.1","two-component system response regulator",1,1,763760,763760,1,0.2447793,0.2447793,0.2447793,0.094,"nod+(A17-2)[1]","A17 only"
"Chromosome","CDO30_03845","NP_384922.1","DNA mismatch repair protein MutL",1,1,766898,766898,1,-0.1924252,-0.1924252,0.1924252,0.272,"nod-(A17-2)[1]","A17 only"
"Chromosome","CDO30_03870","NP_384916.1","3-deoxy-D-manno-octulosonic acid transferase",1,1,771695,771695,1,-0.1647224,-0.1647224,0.1647224,0.351,"leaf1-(A17-4)[1]","A17 only"
"Chromosome","CDO30_03905","NP_384909.1","Patatin",1,1,777758,777758,1,0.33203,0.33203,0.33203,0.068,"nod+(A17-2)[1]","A17 only"
"Chromosome","CDO30_03910","NP_384908.1","16S rRNA (guanine(966)-N(2))-methyltransferase RsmD",1,1,778692,778692,1,-0.222531,-0.222531,0.222531,0.136,"leaf1-(A17-4)[1]","A17 only"
"Chromosome","CDO30_03960","NP_384898.1","molecular chaperone GroEL",1,2,790844,790844,2,-0.162137,-0.05279998,0.10746849,0.393,"nod.weight-(DZA-3)[1], leaf.plast-(A17-24)[1]","Both"
"Chromosome","CDO30_03985","NP_384893.1","ATP phosphoribosyltransferase regulatory subunit",1,1,795203,795203,1,-0.175856,-0.175856,0.175856,0.372,"leaf1-(A17-4)[1]","A17 only"
"Chromosome","CDO30_04100","NP_384870.1","catalase A",1,1,819368,819368,1,0.2822767,0.2822767,0.2822767,0.073,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_04105","NP_384869.1","hydrogen peroxide-inducible genes activator",1,1,820623,820623,1,-0.2500782,-0.2500782,0.2500782,0.11,"leaf1-(A17-4)[1]","A17 only"
"Chromosome","CDO30_04190","NP_384855.1","helix-turn-helix domain-containing protein",1,1,837024,837024,1,0.2821364,0.2821364,0.2821364,0.131,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_04270","NP_384842.1","RidA family protein",1,1,847474,847474,1,-0.1775254,-0.1775254,0.1775254,0.241,"nod-(A17-2)[1]","A17 only"
"Chromosome","CDO30_04320","NP_384832.1","methylmalonate-semialdehyde dehydrogenase (CoA acylating)",1,1,858622,858622,1,0.2602958,0.2602958,0.2602958,0.152,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_04330","NP_384830.1","FAD-dependent oxidoreductase",2,1,860449,860521,2,0.2935184,0.3457844,0.3196514,0.0915,"nod.weight+(A17-4)[2]","A17 only"
"Chromosome","CDO30_04335","NP_384829.1","NAD(P)-dependent oxidoreductase",1,2,862033,862033,2,0.03480386,0.3005716,0.16768773,0.105,"nod.weight+(A17-4)[1], chloro.plast+(DZA-13)[1]","Both"
"Chromosome","CDO30_04355","NP_384826.1","iron ABC transporter permease",1,1,866869,866869,1,-0.07428471,-0.07428471,0.07428471,0.115,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_04360","NP_384825.1","acetoacetyl-CoA synthetase",1,1,868830,868830,1,-0.1004773,-0.1004773,0.1004773,0.079,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_04365","NP_384824.1","cell envelope biogenesis protein AsmA",1,1,871779,871779,1,-0.1016174,-0.1016174,0.1016174,0.089,"leaf.plast-(DZA-13)[1]","DZA only"
"Chromosome","CDO30_04380","NP_384821.1","ABC transporter ATP-binding protein",2,3,875126,875175,4,-0.333982,-0.1074396,0.170089125,0.0705,"leaf1-(A17-4)[1], height.plast-(A17-24)[1], leaf.plast-(A17-24)[2]","A17 only"
"Chromosome","CDO30_04390","NP_384819.1","XRE family transcriptional regulator",3,2,877691,878891,3,-0.2082191,0.2640159,0.2388746,0.206,"nod-(A17-2)[1], nod.weight+(A17-4)[2]","A17 only"
"Chromosome","CDO30_04425","NP_384813.1","aminoacetone oxidase family FAD-binding enzyme",1,2,886070,886070,2,-0.2993438,-0.1060836,0.2027137,0.073,"leaf1-(A17-4)[1], leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_04440","NP_384810.1","glucose-6-phosphate 1-dehydrogenase",1,1,890975,890975,1,-0.4472264,-0.4472264,0.4472264,0.052,"chloro1-(A17-2)[1]","A17 only"
"Chromosome","CDO30_04475","NP_384804.1","alpha-glucosidase",2,1,897299,897489,2,-0.191941,-0.191212,0.1915765,0.27,"nod-(A17-2)[2]","A17 only"
"Chromosome","CDO30_04490","NP_384801.1","alpha-glucosides-binding periplasmic protein AglE",1,1,902419,902419,1,0.287622,0.287622,0.287622,0.11,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_04520","NP_384795.1","rod-binding protein",1,1,908108,908108,1,0.219792,0.219792,0.219792,0.152,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_04560","NP_384787.1","flagellar biosynthesis protein FlgL",1,1,914026,914026,1,-0.1180473,-0.1180473,0.1180473,0.058,"height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_04565","NP_384786.1","flagellar hook-associated protein FlgK",2,2,914526,914981,2,0.2263202,0.2302435,0.22828185,0.157,"leaf1+(A17-4)[1], nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_04615","NP_384776.1","flagellin B",1,1,927468,927468,1,-0.1933814,-0.1933814,0.1933814,0.23,"nod-(A17-2)[1]","A17 only"
"Chromosome","CDO30_04635","NP_384772.1","flagellar L-ring protein",2,1,931195,931297,2,0.2826013,0.3584086,0.32050495,0.0785,"nod.weight+(A17-4)[2]","A17 only"
"Chromosome","CDO30_04640","NP_384771.1","flagellar protein",1,2,931650,931650,2,0.2313794,0.2548279,0.24310365,0.126,"height1+(DZA-3)[1], nod.weight+(A17-4)[1]","Both"
"Chromosome","CDO30_04645","NP_384770.1","flagellar P-ring protein",1,2,932318,932318,2,0.3188237,0.3314403,0.325132,0.058,"height1+(DZA-3)[1], nod.weight+(A17-4)[1]","Both"
"Chromosome","CDO30_04665","NP_384766.1","flagellar basal body rod protein FlgC",1,1,934925,934925,1,0.298113,0.298113,0.298113,0.131,"leaf1+(A17-4)[1]","A17 only"
"Chromosome","CDO30_04695","NP_384760.1","flagellar motor stator protein MotA",1,1,940082,940082,1,-0.09386521,-0.09386521,0.09386521,0.084,"leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_04700","NP_384759.1","flagellar motor switch protein FliM",1,2,941085,941085,2,-0.2950254,-0.09323548,0.19413044,0.079,"leaf1-(A17-4)[1], leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_04710","NP_384757.1","flagellar motor switch protein FliG",1,1,942541,942541,1,-0.1186148,-0.1186148,0.1186148,0.068,"leaf.plast-(DZA-13)[1]","DZA only"
"Chromosome","CDO30_04735","NP_384752.1","flagellar M-ring protein",2,2,948259,948322,2,-0.06567672,0.2382844,0.15198056,0.183,"nod.weight+(A17-4)[1], height.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_04750","NP_384750.1","chemoreceptor glutamine deamidase CheD",1,1,950670,950670,1,0.2636167,0.2636167,0.2636167,0.152,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_04815","NP_384737.1","ribose import ATP-binding protein RbsA 1",1,1,963159,963159,1,0.2569665,0.2569665,0.2569665,0.162,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_04830","NP_384734.1","bifunctional rhamnulose-1-phosphate aldolase/short-chain dehydrogenase",1,1,967035,967035,1,-0.1046424,-0.1046424,0.1046424,0.063,"leaf.plast-(DZA-13)[1]","DZA only"
"Chromosome","CDO30_04845","NP_384731.1","hypothetical protein",1,3,970459,970459,3,-0.3734963,-0.1405448,0.2349236,0.052,"leaf1-(A17-4)[1], leaf.plast-(A17-24)[1], shoot.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_04865","NP_384727.1","hypothetical protein",1,2,973489,973489,2,-0.07996889,0.2442277,0.162098295,0.11,"nod.weight+(A17-4)[1], leaf.plast-(DZA-13)[1]","Both"
"Chromosome","CDO30_04930","NP_384716.1","DUF2948 domain-containing protein",1,1,980916,980916,1,0.2745429,0.2745429,0.2745429,0.089,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_04935","NP_384715.1","UDP-N-acetylglucosamine 1-carboxyvinyltransferase",1,2,981802,981802,2,-0.1058926,-0.1037313,0.10481195,0.079,"height.plast-(A17-24)[1], leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_05050","NP_384687.1","hypothetical protein",1,1,1004836,1004836,1,-0.1012438,-0.1012438,0.1012438,0.094,"leaf.plast-(DZA-13)[1]","DZA only"
"Chromosome","CDO30_05065","NP_384684.2","capsule biosynthesis protein",3,3,1007505,1008000,7,-0.3075327,-0.06500065,0.164651657142857,0.229714285714286,"leaf1-(DZA-3)[2], nod-(A17-2)[2], leaf.plast-(DZA-13)[3]","Both"
"Chromosome","CDO30_05070","NP_384683.1","beta-ketoacyl synthase",6,4,1010220,1016400,7,-0.2252412,0.2993917,0.220334328571429,0.186285714285714,"leaf1-(A17-4)[1], nod+(DZA-1)[1], nod-(A17-2)[2], nod.weight+(A17-4)[2], leaf.plast-(DZA-13)[1]","Both"
"Chromosome","CDO30_05080","NP_384681.1","translocation protein",2,3,1018457,1018489,4,-0.2807888,0.2988167,0.2352618,0.07175,"leaf1-(DZA-3)[1], leaf1-(A17-4)[1], nod.weight+(A17-4)[1], leaf.plast-(A17-24)[1]","Both"
"Chromosome","CDO30_05125","NP_384672.1","pyridoxal phosphate-dependent aminotransferase",1,1,1029334,1029334,1,-0.1876419,-0.1876419,0.1876419,0.241,"nod-(A17-2)[1]","A17 only"
"Chromosome","CDO30_05190","NP_384659.1","hybrid sensor histidine kinase/response regulator",2,3,1043670,1044579,3,-0.2700926,0.3519814,0.235212173333333,0.0803333333333333,"leaf1-(A17-4)[1], nod.weight+(A17-4)[1], leaf.plast-(A17-24)[1]","A17 only"
"Chromosome","CDO30_05280","YP_001325841.1","peptidoglycan-binding protein",3,3,1060683,1061169,4,-0.2446703,-0.08405167,0.1694269175,0.21725,"leaf1-(DZA-3)[1], leaf1-(A17-4)[1], nod-(A17-2)[1], leaf.plast-(DZA-13)[1]","Both"
"Chromosome","CDO30_05290","WP_018898354.1","acetyl-CoA acetyltransferase",1,1,1065895,1065895,1,-0.1829854,-0.1829854,0.1829854,0.23,"nod-(A17-2)[1]","A17 only"
"Chromosome","CDO30_05395","WP_003519986.1","phosphate ABC transporter ATP-binding protein",1,1,1086154,1086154,1,0.2994197,0.2994197,0.2994197,0.068,"nod.weight+(A17-4)[1]","A17 only"
"Chromosome","CDO30_05400","NP_384618.1","phosphate ABC transporter%2C permease protein PstA",1,1,1087643,1087643,1,-0.1711273,-0.1711273,0.1711273,0.319,"leaf1-(A17-4)[1]","A17 only"
