"region","gene_ID","RefSeq_ID","ncbi_func","traits","lines","overlap"
"pSymA","gene-CDO30_21260","YP_001313952.1","sugar ABC transporter ATP-binding protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21265","NP_435359.2","5-keto-4-deoxyuronate isomerase","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_21270","NP_435358.1","hypothetical protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21275","NP_435357.2","hypothetical protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21280","NP_435356.1","hypothetical protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_21295","NP_435353.2","ABC transporter substrate-binding protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_21345","NP_435345.1","hypothetical protein","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21355","NP_435343.1","MFS transporter","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_21365","NP_435341.1","PhzF family phenazine biosynthesis protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21380","YP_002823300.1","GYD domain-containing protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_21390","NP_435338.1","polyphosphate kinase 2","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21395","NP_435337.1","alpha/beta hydrolase","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21405","NP_435335.1","class I SAM-dependent methyltransferase","shoot.plast","DZA","plast_only"
"pSymA","gene-CDO30_21410","NP_435334.1","hypothetical protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21420","NP_435332.2","secretin","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21425","NP_435330.1","GntR family transcriptional regulator","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21435","NP_435328.1","TRAP transporter small permease","shoot","DZA, A17","trait_only"
"pSymA","gene-CDO30_21440","YP_001313846.1","TRAP transporter large permease","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21445","YP_001313847.1","MCD%2C Malonyl-CoA decarboxylase MCD","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_21450","NP_435326.1","malonyl-CoA synthase","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21460","NP_435324.1","hypothetical protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21470","NP_435322.1","anti-sigma factor","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21480","NP_435320.1","protease","shoot","A17","trait_only"
"pSymA","gene-CDO30_21490","NP_435318.2","bifunctional diguanylate cyclase/phosphodiesterase","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21495","NP_435317.2","AI-2E family transporter","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21505","NP_435316.1","hypothetical protein","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21515","NP_435314.1","fatty acid desaturase","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21520","NP_435313.1","hypothetical protein","shoot","DZA, A17","trait_only"
"pSymA","gene-CDO30_21530","NP_435311.1","co-chaperone GroES","shoot","A17","trait_only"
"pSymA","gene-CDO30_21535","NP_435310.1","molecular chaperone GroEL","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21540","NP_435309.1","hypothetical protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_21550","NP_435307.1","cytochrome C","shoot","A17","trait_only"
"pSymA","gene-CDO30_21555","NP_435306.1","hypothetical protein","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_21575","NP_435303.1","histidine kinase","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21590","NP_435301.1","ABC transporter ATP-binding protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_21600","NP_435299.1","ABC transporter permease","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21610","NP_435297.1","ABC transporter substrate-binding protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21615","NP_435296.1","amidohydrolase","shoot","A17","trait_only"
"pSymA","gene-CDO30_21620","NP_435295.1","LysR family transcriptional regulator","shoot, shoot.plast","A17","both_traits"
"pSymA","gene-CDO30_21625","NP_435294.1","D-aminopeptidase","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21630","NP_435293.1","D-amino acid aminotransferase","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21635","NP_435292.1","BA14K family protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_21670","NP_435285.1","amino acid ABC transporter permease","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21675","NP_435284.1","LacI family transcriptional regulator","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21680","NP_435283.1","aldose 1-epimerase","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21685","NP_435282.1","NAD(P)-dependent oxidoreductase","shoot","A17","trait_only"
"pSymA","gene-CDO30_21690","NP_435281.1","sugar ABC transporter ATP-binding protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_21695","NP_435280.1","ABC transporter permease","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21700","YP_001314463.1","ABC transporter substrate-binding protein","shoot","A17","trait_only"
"pSymA","gene-CDO30_21705","NP_435278.1","GntR family transcriptional regulator","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21710","NP_435277.2","dehydratase","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21715","NP_435276.2","FadR family transcriptional regulator","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_21720","NP_435275.1","GntR family transcriptional regulator","shoot, shoot.plast","A17","both_traits"
"pSymA","gene-CDO30_21725","NP_435274.1","gluconolactonase","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_21735","NP_435272.1","AGE family epimerase/isomerase","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21740","YP_001314472.1","mandelate racemase","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21780","NP_435265.2","NADPH:quinone reductase","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21785","NP_435264.2","LysR family transcriptional regulator","shoot","DZA, A17","trait_only"
"pSymA","gene-CDO30_21790","NP_435263.1","ABC transporter ATP-binding protein","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_21795","NP_435262.1","protease","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21805","NP_435260.1","selenide%2C water dikinase SelD","shoot","A17","trait_only"
"pSymA","gene-CDO30_21810","NP_435259.1","hypothetical protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21815","NP_435258.2","transglutaminase family protein","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21865","YP_002000327.1","hypothetical protein","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_21870","NP_435254.1","hypothetical protein","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21875","NP_435253.1","selenocysteine-specific translation elongation factor","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21885","NP_435251.1","L-selenocysteinyl-tRNA(Sec) synthase","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21890","NP_435250.1","formate dehydrogenase accessory protein FdhE","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21895","NP_435249.1","formate dehydrogenase subunit gamma","shoot","A17","trait_only"
"pSymA","gene-CDO30_21905","NP_435247.1","formate dehydrogenase-N subunit alpha","shoot","A17","trait_only"
"pSymA","gene-CDO30_21930","NP_436536.2","TetR/AcrR family transcriptional regulator","shoot","A17","trait_only"
"pSymA","gene-CDO30_21935","NP_436535.1","ABC transporter ATP-binding protein","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_21945","NP_436533.2","TetR/AcrR family transcriptional regulator","shoot, shoot.plast","A17","both_traits"
"pSymA","gene-CDO30_21950","WP_017267459.1","LysR family transcriptional regulator","shoot","A17","trait_only"
"pSymA","gene-CDO30_21955","NP_436532.1","catalase/peroxidase HPI","shoot","A17","trait_only"
"pSymA","gene-CDO30_21960","NP_436531.1","MFS transporter","shoot","A17, DZA","trait_only"
"pSymA","gene-CDO30_21970","YP_002000364.1","cupin","shoot.plast","A17","plast_only"
"pSymA","gene-CDO30_21975","NP_436528.1","cytosine deaminase","shoot","DZA, A17","trait_only"
"pSymA","gene-CDO30_21985","NP_436526.1","ABC transporter permease","shoot","DZA","trait_only"
"pSymA","gene-CDO30_21995","NP_436524.1","amidase","shoot.plast","A17","plast_only"
"pSymA","gene-CDO30_22015","WP_013845185.1","hypothetical protein","shoot","DZA","trait_only"
"pSymA","gene-CDO30_22030","NP_436519.2","oxidoreductase","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_22035","NP_436518.1","molybdopterin dehydrogenase","shoot, shoot.plast","A17","both_traits"
"pSymA","gene-CDO30_22045","NP_436516.2","class I SAM-dependent methyltransferase","shoot.plast","DZA","plast_only"
"pSymA","gene-CDO30_22060","NP_436514.1","NAD(P)-dependent oxidoreductase","shoot","A17","trait_only"
"pSymA","gene-CDO30_22130","NP_436501.1","potassium-transporting ATPase A chain","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_22135","NP_436500.1","potassium-transporting ATPase subunit B","shoot, shoot.plast","DZA","both_traits"
"pSymA","gene-CDO30_22140","NP_436499.1","potassium-transporting ATPase subunit C","shoot.plast","DZA","plast_only"
"pSymA","gene-CDO30_22145","NP_436498.1","sensor histidine kinase KdpD","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_22160","NP_436495.1","ATP-dependent helicase","shoot","A17","trait_only"
"pSymA","gene-CDO30_22170","NP_436494.2","glutathione S-transferase family protein","shoot, shoot.plast","DZA, A17","both_traits"
"pSymA","gene-CDO30_22175","WP_003525475.1","adenylyltransferase","shoot.plast","DZA","plast_only"
"pSymA","gene-CDO30_22180","NP_436491.1","oxidoreductase","shoot, shoot.plast","A17, DZA","both_traits"
"pSymA","gene-CDO30_22205","NP_436486.1","sugar kinase","shoot","DZA","trait_only"
