"rs","region","ps","start_pos","end_pos","af_191","af_89","impact","RefSeq_ID","ncbi_func","protein_ID","gene_ID","gene_interval","gene_ann","no_vars_group","line","trait_comb","trait_comb_line","trait_comb_dir","sig_traits","pleio","effect","cat","betas_y","betas_x","betas_y.c","betas_x.c","line_cat","pleio_type","pleio_cat"
"freebayes-snp-psyma-193731-T","pSymA","193731",192156,194057,0.087,0.092,"LOW","NP_435753.1","sensor histidine kinase","ASP60410.1","CDO30_18935","gene-CDO30_RS18955",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.2957842,0.4729942,0.2957842,0.4729942,"DZA_D","sym","Al"
"freebayes-snp-psyma-194382-T","pSymA","194382",194350,196509,0.077,0.08,"LOW","NP_435752.1","mechanosensitive ion channel family protein","ASP60411.1","CDO30_18940","gene-CDO30_RS18960",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.3554159,0.5494571,0.3554159,0.5494571,"DZA_D","sym","Al"
"freebayes-snp-psyma-402303-T","pSymA","402303",401875,403206,0.162,0.124,"LOW","NP_435559.2","alpha/beta hydrolase","ASP60593.1","CDO30_20130","gene-CDO30_RS20135",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.2149696,0.3461829,0.2149696,0.3461829,"DZA_D","sym","Al"
"freebayes-snp-psyma-640242-G","pSymA","640242",640137,641663,0.393,0.382,"MODERATE","NP_435326.1","malonyl-CoA synthase","ASP60815.1","CDO30_21450","gene-CDO30_RS21460",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.1347207,0.3105757,0.1347207,0.3105757,"DZA_D","sym","Al"
"freebayes-snp-psyma-747157-G","pSymA","747157",745969,747384,0.241,0.236,"LOW","NP_436524.1","amidase","ASP60914.1","CDO30_21995","gene-CDO30_RS22005",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.2252612,0.2818789,0.2252612,0.2818789,"DZA_D","sym","Al"
"freebayes-snp-psymb-1068903-G","pSymB","1068903",NA,NA,0.068,0.067,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS30260-gene-CDO30_RS30265",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.3212487,0.5154552,0.3212487,0.5154552,"DZA_D","sym","Al"
"freebayes-snp-psymb-1123074-G","pSymB","1123074",1121884,1123659,0.068,0.09,"LOW","NP_437510.1","sulfoacetaldehyde acetyltransferase","ASP62509.1","CDO30_30520","gene-CDO30_RS30550","xsc",1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro+_vs_fit+_DZA","Both_traits","Y","Bottom_left","D",-0.2719631,-0.4897951,0.2719631,0.4897951,"DZA_D","sym","Al"
"freebayes-snp-psymb-1520973-C","pSymB","1520973",1519673,1521610,0.063,0.056,"MODERATE","NP_437900.1","asparagine synthetase B","ASP62873.1","CDO30_32555","gene-CDO30_RS32590","asnB",3,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.2926492,0.5209533,0.2926492,0.5209533,"DZA_D","sym","Al"
"freebayes-snp-psymb-194434-C","pSymB","194434",193933,195654,0.346,0.348,"LOW","NP_436655.1","dihydroxy-acid dehydratase","ASP61696.1","CDO30_26020","gene-CDO30_RS26045",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.1322833,0.2890899,0.1322833,0.2890899,"DZA_D","sym","Al"
"freebayes-snp-psymb-342210-G","pSymB","342210",341230,342921,0.377,0.393,"LOW","NP_436799.1","hypothetical protein","ASP61842.1","CDO30_26770","gene-CDO30_RS26795",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.1502235,0.2671686,0.1502235,0.2671686,"DZA_D","sym","Al"
"freebayes-snp-psymb-573490-T","pSymB","573490",572882,574354,0.194,0.169,"LOW","NP_437011.1","carbohydrate kinase","ASP62041.1","CDO30_27875","gene-CDO30_RS27900",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit+_DZA","Both_traits","Y","Top_left","OD",0.1926223,-0.3239459,0.1926223,-0.3239459,"DZA_OD","sym","C"
"freebayes-snp-psymb-604719-T","pSymB","604719",603955,605172,0.152,0.157,"MODERATE","NP_437035.1","chemotaxis protein CheB","ASP62067.1","CDO30_28015","gene-CDO30_RS28040",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.1937704,0.3294911,0.1937704,0.3294911,"DZA_D","sym","Al"
"freebayes-snp-psymb-741864-C","pSymB","741864",NA,NA,0.116,0.102,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS28815-gene-CDO30_RS28830",NA,1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.2269396,0.3856426,0.2269396,0.3856426,"DZA_D","sym","Al"
"freebayes-snp-psymb-796766-A","pSymB","796766",793521,798140,0.063,0.056,"LOW","NP_437206.1","Ti-type conjugative transfer relaxase TraA","ASP62230.1","CDO30_29020","gene-CDO30_RS29050","traA",1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.3393457,0.8202725,0.3393457,0.8202725,"DZA_D","sym","Al"
"freebayes-snp-psymb-796815-T","pSymB","796815",793521,798140,0.063,0.056,"LOW","NP_437206.1","Ti-type conjugative transfer relaxase TraA","ASP62230.1","CDO30_29020","gene-CDO30_RS29050","traA",1,"DZA","chloro_vs_fit","chloro_vs_fit_DZA","chloro-_vs_fit-_DZA","Both_traits","Y","Top_right","D",0.4095284,0.7585504,0.4095284,0.7585504,"DZA_D","sym","Al"
