"rs","region","ps","start_pos","end_pos","af_191","af_89","impact","RefSeq_ID","ncbi_func","protein_ID","gene_ID","gene_interval","gene_ann","no_vars_group","line","trait_comb","trait_comb_line","trait_comb_dir","sig_traits","pleio","effect","cat","betas_y","betas_x","betas_y.c","betas_x.c","line_cat","pleio_type","pleio_cat"
"freebayes-snp-psymb-532994-G","pSymB","532994",532806,533144,0.058,0.067,"LOW","NP_436974.1","hypothetical protein","ASP63043.1","CDO30_27680","gene-CDO30_RS27705",NA,2,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-0.5230628,0.3903409,0.5230628,-0.3903409,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-533399-G","pSymB","533399",533180,534091,0.063,0.079,"LOW","NP_436975.1","gluconolactonase","ASP62006.1","CDO30_27685","gene-CDO30_RS27710",NA,1,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-0.5392761,0.3522991,0.5392761,-0.3522991,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-533930-T","pSymB","533930",533180,534091,0.073,0.079,"LOW","NP_436975.1","gluconolactonase","ASP62006.1","CDO30_27685","gene-CDO30_RS27710",NA,1,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-0.5339305,0.3230541,0.5339305,-0.3230541,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-534145-C","pSymB","534145",NA,NA,0.099,0.09,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS27710-gene-CDO30_RS27715",NA,1,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-0.5310288,0.2629101,0.5310288,-0.2629101,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-534247-A","pSymB","534247",NA,NA,0.052,0.056,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS27710-gene-CDO30_RS27715",NA,6,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-0.5352016,0.4342971,0.5352016,-0.4342971,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-534839-G","pSymB","534839",NA,NA,0.079,0.067,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS27715-gene-CDO30_RS27720",NA,1,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-0.5079276,0.3199761,0.5079276,-0.3199761,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-564782-A","pSymB","564782",564234,566018,0.068,0.056,"LOW","NP_437004.1","N-acetylglutaminylglutamine synthetase","ASP62035.1","CDO30_27840","gene-CDO30_RS27865",NA,1,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-0.5776397,0.3708011,0.5776397,-0.3708011,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-575657-C","pSymB","575657",575153,576013,0.058,0.067,"MODERATE","YP_002122330.1","DUF899 domain-containing protein","ASP62043.1","CDO30_27885","gene-CDO30_RS27910",NA,1,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-0.6506698,0.3879785,0.6506698,-0.3879785,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-580891-G","pSymB","580891",580753,582456,0.058,0.056,"MODERATE","NP_437017.1","hypothetical protein","ASP63047.1","CDO30_27915","gene-CDO30_RS27940",NA,1,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-1.002827,0.3967318,1.002827,-0.3967318,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-582057-G","pSymB","582057",580753,582456,0.084,0.101,"LOW","NP_437017.1","hypothetical protein","ASP63047.1","CDO30_27915","gene-CDO30_RS27940",NA,1,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-0.395374,0.3118682,0.395374,-0.3118682,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-625791-C","pSymB","625791",625088,625897,0.1,0.101,"MODERATE","NP_437053.1","sugar phosphate isomerase/epimerase","ASP62083.1","CDO30_28135","gene-CDO30_RS28165",NA,1,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-0.3741458,0.2673771,0.3741458,-0.2673771,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-650797-T","pSymB","650797",NA,NA,0.105,0.101,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS28335-gene-CDO30_RS28340",NA,3,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-0.3741458,0.264868,0.3741458,-0.264868,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-652242-T","pSymB","652242",652218,652439,0.283,0.326,"LOW","NP_437079.1","copper chaperone","ASP62112.1","CDO30_28320","gene-CDO30_RS28350",NA,1,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit-_vs_nod-_DZA","Both_traits","Y","Top_right","D",0.2927565,0.1849815,0.2927565,0.1849815,"DZA_D","rhiz","P"
"freebayes-snp-psymb-668017-T","pSymB","668017",667388,669193,0.192,0.193,"LOW","NP_437093.2","ABC transporter ATP-binding protein","ASP62125.1","CDO30_28395","gene-CDO30_RS28425",NA,2,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-0.3176918,0.226854,0.3176918,-0.226854,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-669983-A","pSymB","669983",669531,670271,0.068,0.08,"LOW","NP_437094.1","hypothetical protein","ASP62126.1","CDO30_28400","gene-CDO30_RS28430",NA,2,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-0.403872,0.3896963,0.403872,-0.3896963,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-677196-A","pSymB","677196",676228,677454,0.152,0.124,"LOW","NP_437100.1","ferredoxin reductase","ASP62131.1","CDO30_28425","gene-CDO30_RS28455",NA,1,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit-_vs_nod+_DZA","Both_traits","Y","Top_left","OD",0.3617548,-0.1883658,0.3617548,-0.1883658,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-75355-T","pSymB","75355",74805,75710,0.052,0.056,"MODERATE","NP_436547.1","LysR family transcriptional regulator","ASP61595.1","CDO30_25450","gene-CDO30_RS25475",NA,1,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit-_vs_nod+_DZA","Both_traits","Y","Top_left","OD",0.5610389,-0.2956865,0.5610389,-0.2956865,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-900672-T","pSymB","900672",899212,901113,0.12,0.18,"LOW","NP_437305.1","peptide ABC transporter substrate-binding protein","ASP62318.1","CDO30_29505","gene-CDO30_RS29535",NA,1,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit+_vs_nod-_DZA","Both_traits","Y","Bottom_right","OD",-0.3555829,0.2115909,0.3555829,-0.2115909,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-97084-G","pSymB","97084",97077,97547,0.141,0.135,"MODERATE","NP_436564.1","Lrp/AsnC family transcriptional regulator","ASP61612.1","CDO30_25540","gene-CDO30_RS25565",NA,1,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit-_vs_nod+_DZA","Both_traits","Y","Top_left","OD",0.3554986,-0.2965071,0.3554986,-0.2965071,"DZA_OD","rhiz","An"
"freebayes-snp-psymb-99057-C","pSymB","99057",98838,102455,0.052,0.056,"LOW","NP_436566.1","5-oxoprolinase","ASP61615.1","CDO30_25560","gene-CDO30_RS25585",NA,3,"DZA","fit_vs_nod","fit_vs_nod_DZA","fit-_vs_nod+_DZA","Both_traits","Y","Top_left","OD",0.5497426,-0.338776,0.5497426,-0.338776,"DZA_OD","rhiz","An"
