"rs","region","ps","start_pos","end_pos","af_191","af_89","impact","RefSeq_ID","ncbi_func","protein_ID","gene_ID","gene_interval","gene_ann","no_vars_group","line","trait_comb","trait_comb_line","trait_comb_dir","sig_traits","pleio","effect","cat","betas_y","betas_x","betas_y.c","betas_x.c","line_cat","pleio_type","pleio_cat"
"freebayes-snp-psymb-458239-T","pSymB","458239",457493,458878,0.121,0.101,"MODERATE","NP_436905.1","aspartate aminotransferase family protein","ASP61943.1","CDO30_27330","gene-CDO30_RS27355",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod-_A17","Both_traits","Y","Top_right","D",0.3646129,0.2943923,0.3646129,0.2943923,"A17_D","rhiz","P"
"freebayes-snp-psymb-458566-T","pSymB","458566",457493,458878,0.132,0.101,"MODERATE","NP_436905.1","aspartate aminotransferase family protein","ASP61943.1","CDO30_27330","gene-CDO30_RS27355",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod-_A17","Both_traits","Y","Top_right","D",0.2871065,0.2760521,0.2871065,0.2760521,"A17_D","rhiz","P"
"freebayes-snp-psymb-543980-A","pSymB","543980",NA,NA,0.058,0.079,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS27760-gene-CDO30_RS27765",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod-_A17","Both_traits","Y","Top_right","D",0.3525791,0.4741423,0.3525791,0.4741423,"A17_D","rhiz","P"
"freebayes-snp-psymb-593981-C","pSymB","593981",593336,594364,0.366,0.315,"LOW","YP_001312350.1","transporter","ASP62058.1","CDO30_27965","gene-CDO30_RS27990",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.2227486,-0.1460177,0.2227486,-0.1460177,"A17_OD","rhiz","An"
"freebayes-snp-psymb-794520-G","pSymB","794520",793521,798140,0.152,0.124,"MODERATE","NP_437206.1","Ti-type conjugative transfer relaxase TraA","ASP62230.1","CDO30_29020","gene-CDO30_RS29050","traA",1,"A17","fit_vs_nod","fit_vs_nod_A17","fit+_vs_nod+_A17","Both_traits","Y","Bottom_left","D",-0.3452574,-0.2169056,0.3452574,0.2169056,"A17_D","rhiz","P"
"freebayes-snp-psymb-796814-A","pSymB","796814",793521,798140,0.126,0.146,"LOW","NP_437206.1","Ti-type conjugative transfer relaxase TraA","ASP62230.1","CDO30_29020","gene-CDO30_RS29050","traA",1,"A17","fit_vs_nod","fit_vs_nod_A17","fit+_vs_nod-_A17","Both_traits","Y","Bottom_right","OD",-0.2548246,0.2910482,0.2548246,-0.2910482,"A17_OD","rhiz","An"
"freebayes-snp-psymb-911419-C","pSymB","911419",911300,912049,0.11,0.135,"LOW","NP_437315.1","nucleotide-binding protein","ASP62325.1","CDO30_29550","gene-CDO30_RS29580",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.282947,-0.2101859,0.282947,-0.2101859,"A17_OD","rhiz","An"
"freebayes-snp-psymb-918368-T","pSymB","918368",917926,919707,0.136,0.157,"MODERATE","NP_437322.1","adenine deaminase","ASP62332.1","CDO30_29585","gene-CDO30_RS29615",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.2577199,-0.211217,0.2577199,-0.211217,"A17_OD","rhiz","An"
"freebayes-snp-psymb-921205-T","pSymB","921205",921035,921745,0.147,0.169,"LOW","NP_437324.1","phosphoribosyltransferase","ASP62334.1","CDO30_29595","gene-CDO30_RS29625",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.2374922,-0.2041776,0.2374922,-0.2041776,"A17_OD","rhiz","An"
"freebayes-snp-psymb-922235-C","pSymB","922235",922026,923318,0.204,0.213,"LOW","YP_001313347.1","NCS2 family permease","ASP62335.1","CDO30_29600","gene-CDO30_RS29630",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.2566384,-0.1611697,0.2566384,-0.1611697,"A17_OD","rhiz","An"
"freebayes-snp-psymb-925029-G","pSymB","925029",924092,925114,0.157,0.18,"MODERATE","NP_437327.1","allantoicase","ASP62337.1","CDO30_29610","gene-CDO30_RS29640","alc",2,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.2583819,-0.2616001,0.2583819,-0.2616001,"A17_OD","rhiz","An"
"freebayes-snp-psymb-927350-T","pSymB","927350",927084,928565,0.084,0.101,"LOW","NP_437330.1","xanthine dehydrogenase small subunit","ASP62340.1","CDO30_29625","gene-CDO30_RS29655","xdhA",1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.3849488,-0.2205349,0.3849488,-0.2205349,"A17_OD","rhiz","An"
"freebayes-snp-psymb-929745-T","pSymB","929745",928579,930912,0.079,0.09,"LOW","NP_437331.1","xanthine dehydrogenase molybdopterin binding subunit","ASP62341.1","CDO30_29630","gene-CDO30_RS29660","xdhB",1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.3104168,-0.2299959,0.3104168,-0.2299959,"A17_OD","rhiz","An"
"freebayes-snp-psymb-934261-T","pSymB","934261",NA,NA,0.094,0.112,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS29680-gene-CDO30_RS29685",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.2690562,-0.2137145,0.2690562,-0.2137145,"A17_OD","rhiz","An"
"freebayes-snp-psymb-993173-T","pSymB","993173",993059,994012,0.115,0.124,"LOW","NP_437386.1","LysR family transcriptional regulator","ASP62394.1","CDO30_29905","gene-CDO30_RS29935",NA,3,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.3427725,-0.2611766,0.3427725,-0.2611766,"A17_OD","rhiz","An"
"freebayes-snp-psymb-993326-T","pSymB","993326",993059,994012,0.099,0.112,"LOW","NP_437386.1","LysR family transcriptional regulator","ASP62394.1","CDO30_29905","gene-CDO30_RS29935",NA,1,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.3353019,-0.2319134,0.3353019,-0.2319134,"A17_OD","rhiz","An"
"freebayes-snp-psymb-994096-G","pSymB","994096",NA,NA,0.089,0.101,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS29935-gene-CDO30_RS29940",NA,5,"A17","fit_vs_nod","fit_vs_nod_A17","fit-_vs_nod+_A17","Both_traits","Y","Top_left","OD",0.3685181,-0.2154819,0.3685181,-0.2154819,"A17_OD","rhiz","An"
