"region","rs","gene_name","RefSeq_ID","ncbi_func","start_pos","end_pos","effect","no_effects","ave_score","maf","assocs","host","dir","GxE"
"pSymA","freebayes-snp-psyma-1053319-T","CDO30_RS23625","NP_436245.1","MFS transporter",1053142,1054734,"missense_variant",1,0.2008106,0.189,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1054884-T","CDO30_RS23630","NP_436244.1","MBL fold metallo-hydrolase",1054756,1055730,"synonymous_variant",1,0.2675915,0.158,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1055277-C","CDO30_RS23630","NP_436244.1","MBL fold metallo-hydrolase",1054756,1055730,"synonymous_variant",1,0.2124796,0.215,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1057506-G","CDO30_RS23645-CDO30_RS23650",NA,"non-coding",NA,NA,"intergenic_region",1,0.3279162,0.137,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1060609-C","CDO30_RS23655","NP_436237.1","potassium transporter Kup",1059400,1061301,"synonymous_variant",1,-0.3129666,0.11,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1067421-C","CDO30_RS23685","NP_436233.1","adenylate/guanylate cyclase domain-containing protein",1065009,1068365,"synonymous_variant",1,0.3145808,0.073,"shoot+(A17-4)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1074542-T","CDO30_RS23730-CDO30_RS23740",NA,"non-coding",NA,NA,"intergenic_region",1,0.3098112,0.063,"shoot+(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1078215-G","CDO30_RS23770","NP_436219.1","aminotransferase",1077723,1079039,"synonymous_variant",1,0.3179721,0.063,"shoot+(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1079298-C","CDO30_RS23775","NP_436218.1","phosphotransferase",1079042,1080289,"missense_variant",1,0.2567149,0.147,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1079400-A","CDO30_RS23775","NP_436218.1","phosphotransferase",1079042,1080289,"missense_variant",1,0.1571177,0.471,"shoot+(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1083462-T","CDO30_RS23795","NP_436214.1","polyamine ABC transporter ATP-binding protein",1083116,1084195,"missense_variant",1,-0.2563478,0.126,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1083502-C","CDO30_RS23795","NP_436214.1","polyamine ABC transporter ATP-binding protein",1083116,1084195,"synonymous_variant",1,0.2436236,0.094,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1090194-C","CDO30_RS23825","NP_436209.1","TonB-dependent siderophore receptor",1089410,1091554,"missense_variant",1,-0.282797,0.089,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1105516-T","CDO30_RS23890","NP_436196.1","alpha/beta hydrolase",1105314,1106204,"missense_variant",1,-0.2848008,0.073,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1106134-T","CDO30_RS23890","NP_436196.1","alpha/beta hydrolase",1105314,1106204,"missense_variant",1,0.2724582,0.089,"shoot+(A17-4)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1116083-C","CDO30_RS23935","WP_017272267.1","hypothetical protein",1115970,1116254,"missense_variant",1,0.2917736,0.099,"shoot+(A17-4)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1132049-C","CDO30_RS24020-CDO30_RS24025",NA,"non-coding",NA,NA,"intergenic_region",1,0.3855073,0.063,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1132277-C","CDO30_RS24025","NP_436170.1","arylsulfatase",1132197,1133864,"synonymous_variant",1,-0.2941117,0.079,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1132406-T","CDO30_RS24025","NP_436170.1","arylsulfatase",1132197,1133864,"synonymous_variant",1,-0.3628359,0.079,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1134045-C","CDO30_RS24030","NP_436169.1","haloacid dehalogenase-like hydrolase",1133947,1134960,"synonymous_variant",1,-0.1512751,0.482,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1134849-T","CDO30_RS24030","NP_436169.1","haloacid dehalogenase-like hydrolase",1133947,1134960,"synonymous_variant",1,0.3972801,0.052,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1134877-G","CDO30_RS24030","NP_436169.1","haloacid dehalogenase-like hydrolase",1133947,1134960,"missense_variant",1,0.5109775,0.058,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1134933-T","CDO30_RS24030","NP_436169.1","haloacid dehalogenase-like hydrolase",1133947,1134960,"synonymous_variant",1,0.3633611,0.052,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1135539-G","CDO30_RS24035","NP_436168.1","hypothetical protein",1135021,1137414,"synonymous_variant",1,0.2657279,0.105,"shoot+(A17-4)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1135857-T","CDO30_RS24035","NP_436168.1","hypothetical protein",1135021,1137414,"synonymous_variant",1,-0.1470311,0.45,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1136997-T","CDO30_RS24035","NP_436168.1","hypothetical protein",1135021,1137414,"synonymous_variant",1,-0.2494145,0.126,"shoot-(A17-4)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1137047-C","CDO30_RS24035","NP_436168.1","hypothetical protein",1135021,1137414,"missense_variant",1,-0.1376503,0.492,"shoot-(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1139457-T","CDO30_RS24045","NP_436166.2","amidohydrolase family protein",1138240,1139673,"synonymous_variant",1,0.2623266,0.105,"shoot+(A17-4)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1171293-C","CDO30_RS24200-CDO30_RS24220","WP_017506755.1","hypothetical protein",1171126,1171433,"intergenic_region",1,-0.2313058,0.131,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1172288-C","CDO30_RS24220","NP_436136.1","LysR family transcriptional regulator",1171913,1172866,"synonymous_variant",1,0.3512748,0.063,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1173205-C","CDO30_RS24225","NP_436135.2","nuclear transport factor 2 family protein",1172915,1173235,"synonymous_variant",1,-0.2712581,0.115,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1192620-T","CDO30_RS24325-CDO30_RS24335","YP_002823460.1","FAD-dependent oxidoreductase",1191743,1193173,"intergenic_region",1,-0.2620951,0.147,"shoot-(A17-4)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1196000-C","CDO30_RS24335","NP_436112.1","adenylate cyclase",1193214,1196693,"missense_variant",1,-0.3163306,0.052,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1201721-C","CDO30_RS24360-CDO30_RS24370",NA,"non-coding",NA,NA,"intergenic_region",1,-0.2904799,0.105,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1202251-A","CDO30_RS24370-CDO30_RS24375",NA,"non-coding",NA,NA,"intergenic_region",1,0.2971602,0.084,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1203973-T","CDO30_RS24375","NP_436107.2","adenylate/guanylate cyclase domain-containing protein",1202288,1204057,"synonymous_variant",1,0.2383897,0.136,"shoot+(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1204018-A","CDO30_RS24375","NP_436107.2","adenylate/guanylate cyclase domain-containing protein",1202288,1204057,"synonymous_variant",1,-0.2519035,0.099,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1205187-C","CDO30_RS24380","NP_436106.1","mechanosensitive ion channel family protein",1204306,1205604,"synonymous_variant",1,-0.1756114,0.209,"shoot-(A17-4)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1209348-G","CDO30_RS24405","NP_436101.1","pilus assembly protein CpaE",1209236,1210996,"missense_variant",1,-0.1429396,0.387,"shoot-(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1209425-C","CDO30_RS24405","NP_436101.1","pilus assembly protein CpaE",1209236,1210996,"missense_variant",2,-0.1419078,0.424,"shoot-(DZA-1), shoot-(A17-2)","Both","con","other"
"pSymA","freebayes-snp-psyma-1213524-C","CDO30_RS24425","NP_436097.1","pilus assembly protein",1213499,1214500,"missense_variant",1,-0.275784,0.105,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1220782-C","CDO30_RS24450","NP_436092.1","chemotaxis protein CheW",1220335,1221003,"synonymous_variant",1,-0.2811589,0.068,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1220836-C","CDO30_RS24450","NP_436092.1","chemotaxis protein CheW",1220335,1221003,"synonymous_variant",2,0.2488052,0.115,"shoot+(DZA-1), shoot+(DZA-3)","DZA only","con","concordant_DZA"
"pSymA","freebayes-snp-psyma-1220859-C","CDO30_RS24450","NP_436092.1","chemotaxis protein CheW",1220335,1221003,"missense_variant",1,0.1900486,0.335,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1220975-T","CDO30_RS24450","NP_436092.1","chemotaxis protein CheW",1220335,1221003,"missense_variant",1,0.2230546,0.11,"shoot+(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1221497-C","CDO30_RS24455","NP_436091.1","chemotaxis protein CheR",1221000,1222361,"missense_variant",2,0.25587765,0.147,"shoot+(DZA-1), shoot+(DZA-3)","DZA only","con","concordant_DZA"
"pSymA","freebayes-snp-psyma-1221585-T","CDO30_RS24455","NP_436091.1","chemotaxis protein CheR",1221000,1222361,"synonymous_variant",1,0.3409557,0.068,"shoot+(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1222067-T","CDO30_RS24455","NP_436091.1","chemotaxis protein CheR",1221000,1222361,"missense_variant",1,0.1451425,0.497,"shoot+(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1223204-A","CDO30_RS24460-CDO30_RS24465",NA,"non-coding",NA,NA,"intergenic_region",1,0.1586198,0.492,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1223240-G","CDO30_RS24460-CDO30_RS24465",NA,"non-coding",NA,NA,"intergenic_region",1,0.2084487,0.162,"shoot+(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1223401-C","CDO30_RS24465","NP_436089.2","GGDEF domain-containing protein",1223389,1226604,"synonymous_variant",1,0.3606864,0.058,"shoot+(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1223455-A","CDO30_RS24465","NP_436089.2","GGDEF domain-containing protein",1223389,1226604,"synonymous_variant",1,0.1992554,0.152,"shoot+(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1225554-T","CDO30_RS24465","NP_436089.2","GGDEF domain-containing protein",1223389,1226604,"missense_variant",1,0.3692435,0.079,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1226469-T","CDO30_RS24465","NP_436089.2","GGDEF domain-containing protein",1223389,1226604,"missense_variant",1,0.3080706,0.089,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1230048-G","CDO30_RS24490","YP_001312374.1","hypothetical protein",1229979,1230233,"missense_variant",1,0.3254554,0.084,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1230477-A","CDO30_RS24495","NP_436083.4","Na(+)/H(+) antiporter subunit D",1230226,1231986,"synonymous_variant",1,0.2969882,0.073,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1231050-T","CDO30_RS24495","NP_436083.4","Na(+)/H(+) antiporter subunit D",1230226,1231986,"synonymous_variant",1,-0.158636,0.403,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1233162-C","CDO30_RS24500","NP_436082.1","NADH-quinone oxidoreductase subunit M",1231993,1233468,"synonymous_variant",1,0.1665887,0.23,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1235152-C","CDO30_RS24510","NP_436080.1","NADH-quinone oxidoreductase subunit A 2",1235120,1235485,"synonymous_variant",1,0.2792912,0.084,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1237138-T","nuoD","NP_436077.1","NADH-quinone oxidoreductase subunit D 2",1236538,1237752,"synonymous_variant",1,0.2649832,0.079,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1241471-T","nuoG","NP_436074.1","NADH-quinone oxidoreductase subunit G 2",1239576,1242137,"synonymous_variant",1,0.2515462,0.178,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1242105-C","nuoG","NP_436074.1","NADH-quinone oxidoreductase subunit G 2",1239576,1242137,"missense_variant",1,0.3209014,0.052,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1242282-T","CDO30_RS24545","NP_436073.1","histidine kinase",1242225,1242665,"synonymous_variant",1,0.2070602,0.304,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1242339-A","CDO30_RS24545","NP_436073.1","histidine kinase",1242225,1242665,"synonymous_variant",2,0.26325025,0.126,"shoot+(DZA-1), shoot+(DZA-3)","DZA only","con","concordant_DZA"
"pSymA","freebayes-snp-psyma-1242384-G","CDO30_RS24545","NP_436073.1","histidine kinase",1242225,1242665,"synonymous_variant",1,0.1692747,0.476,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1242423-G","CDO30_RS24545","NP_436073.1","histidine kinase",1242225,1242665,"synonymous_variant",1,-0.2807691,0.126,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1243153-A","CDO30_RS24550","NP_436072.1","NADH-quinone oxidoreductase subunit I 2",1242709,1243275,"synonymous_variant",1,-0.2638909,0.089,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1243267-A","CDO30_RS24550","NP_436072.1","NADH-quinone oxidoreductase subunit I 2",1242709,1243275,"synonymous_variant",1,0.249525,0.33,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1243600-A","nuoH","NP_436071.1","NADH-quinone oxidoreductase subunit H 2",1243345,1244331,"synonymous_variant",1,0.303819,0.058,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1244473-T","nuoH-CDO30_RS24560",NA,"non-coding",NA,NA,"intergenic_region",1,0.1758325,0.424,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1245609-T","CDO30_RS24565","NP_436069.1","ABC transporter permease",1244922,1245842,"synonymous_variant",1,0.179249,0.372,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1245708-A","CDO30_RS24565","NP_436069.1","ABC transporter permease",1244922,1245842,"synonymous_variant",1,0.2119639,0.497,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1247136-G","CDO30_RS24575","NP_436067.1","ABC transporter ATP-binding protein",1246890,1248425,"synonymous_variant",1,0.1442826,0.466,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1250796-A","CDO30_RS24590","NP_436064.1","aromatic ring-hydroxylating dioxygenase subunit alpha",1250660,1251526,"missense_variant",1,-0.2556677,0.115,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1251698-A","CDO30_RS24595","NP_436063.1","aromatic ring-hydroxylating dioxygenase subunit alpha",1251557,1252471,"missense_variant",1,0.279116,0.068,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1255883-G","CDO30_RS24610","NP_436060.1","alanine--glyoxylate aminotransferase family protein",1255122,1256234,"missense_variant",1,0.2930042,0.068,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1256865-A","CDO30_RS24615","NP_436059.1","hypothetical protein",1256663,1257103,"missense_variant",1,-0.2718277,0.11,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1257018-T","CDO30_RS24615","NP_436059.1","hypothetical protein",1256663,1257103,"missense_variant",1,0.3890733,0.063,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1257226-A","CDO30_RS24620","NP_436058.1","LysR family transcriptional regulator",1257190,1258113,"synonymous_variant",1,-0.15747,0.372,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1257946-C","CDO30_RS24620","NP_436058.1","LysR family transcriptional regulator",1257190,1258113,"synonymous_variant",1,-0.2078331,0.173,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1261192-G","CDO30_RS24635","NP_436055.1","cytochrome c family protein",1260974,1261342,"synonymous_variant",1,-0.3326039,0.058,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1262792-T","CDO30_RS24640","NP_436054.2","MFS transporter",1261571,1262860,"stop_gained",1,-0.3253671,0.052,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1263773-T","CDO30_RS24650","NP_436053.1","dehydrogenase",1263268,1265688,"missense_variant",1,-0.2721315,0.084,"shoot-(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1269619-A","CDO30_RS24665-CDO30_RS24670",NA,"non-coding",NA,NA,"intergenic_region",1,0.2684741,0.084,"shoot+(DZA-1)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1269791-T","CDO30_RS24670","NP_436049.1","aminopeptidase P family protein",1269663,1270967,"synonymous_variant",1,-0.294019,0.115,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1270730-A","CDO30_RS24670","NP_436049.1","aminopeptidase P family protein",1269663,1270967,"missense_variant",1,-0.3082057,0.089,"shoot-(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1274006-G","CDO30_RS24690","NP_436045.1","ABC transporter permease",1273569,1274324,"synonymous_variant",1,0.2863186,0.063,"shoot+(A17-2)","A17 only","single","other"
"pSymA","freebayes-snp-psyma-1281595-A","CDO30_RS24730","NP_436037.1","acetyl-CoA acetyltransferase",1280441,1281631,"synonymous_variant",1,0.3028408,0.073,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1283730-T","CDO30_RS24745","NP_436035.2","hypothetical protein",1283604,1284476,"synonymous_variant",1,0.2547588,0.105,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1285500-T","CDO30_RS24750-kdgD",NA,"non-coding",NA,NA,"intergenic_region",1,0.3097007,0.131,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1285536-A","CDO30_RS24750-kdgD",NA,"non-coding",NA,NA,"intergenic_region",1,0.2645961,0.115,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1286179-T","kdgD","NP_436033.1","5-dehydro-4-deoxyglucarate dehydratase",1285553,1286458,"synonymous_variant",1,0.3593844,0.052,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1287102-T","CDO30_RS24760","NP_436032.1","ABC transporter substrate-binding protein",1286533,1288041,"synonymous_variant",1,0.2427291,0.194,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1287219-G","CDO30_RS24760","NP_436032.1","ABC transporter substrate-binding protein",1286533,1288041,"synonymous_variant",1,0.3044605,0.115,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1287495-G","CDO30_RS24760","NP_436032.1","ABC transporter substrate-binding protein",1286533,1288041,"synonymous_variant",1,0.3169498,0.094,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1288430-A","CDO30_RS24765","YP_001313791.1","ABC transporter permease",1288116,1289033,"synonymous_variant",1,0.1743295,0.267,"shoot+(DZA-3)","DZA only","single","other"
"pSymA","freebayes-snp-psyma-1316356-T","CDO30_RS24895","NP_436006.1","LysR family transcriptional regulator",1315714,1316628,"synonymous_variant",1,0.2267736,0.136,"shoot+(DZA-3)","DZA only","single","other"
